Equipment_ID,Project_ID,Activity_ID,Date,Equipment_Name,Equipment_Type,Operating_Hours,Downtime_Hours,Fuel_Consumption_Litres,Rental_Cost_INR,Maintenance_Cost_INR,Equipment_Status
EQ00033,P001,A011,2026-03-23,Concrete Pump,Concrete,6.089177309,0.0,43.35681591,6501.8,0.0,Operational
EQ00034,P001,A012,2026-03-22,Bar Cutting Machine,Rebar,5.23400234,0.0,6.96173244,9487.53,0.0,Operational
EQ00035,P001,A012,2026-03-29,Transit Mixer,Concrete,9.839991458,0.0,80.91332925,12492.74,0.0,Operational
EQ00036,P001,A012,2026-04-03,Concrete Pump,Concrete,9.25435451,0.0,53.19718582,13896.96,0.0,Operational
EQ00037,P001,A013,2026-03-27,Bar Cutting Machine,Rebar,8.518655179,0.5,15.47082969,10720.17,378.38,Operational
EQ00038,P001,A013,2026-04-01,Transit Mixer,Concrete,9.857465742,0.0,47.51211565,16893.99,0.0,Operational
EQ00039,P001,A013,2026-04-11,Transit Mixer,Concrete,4.800095231,0.0,41.05958914,9269.74,0.0,Idle
EQ00040,P001,A014,2026-04-10,Tower Crane,Lifting,4.966522069,1.0,26.05483919,4485.44,1549.27,Maintenance
EQ00041,P001,A014,2026-04-15,Transit Mixer,Concrete,8.345455454,0.0,81.56249904,9775.72,0.0,Operational
EQ00042,P001,A014,2026-04-16,Concrete Mixer,Concrete,4.108041154,0.0,35.1291957,6015.02,0.0,Idle
EQ00043,P001,A015,2026-04-10,Transit Mixer,Concrete,6.698646651,0.0,62.08423368,12045.33,0.0,Operational
EQ00044,P001,A015,2026-04-10,Transit Mixer,Concrete,7.166921937,1.0,62.3317686,7196.96,545.04,Maintenance
EQ00045,P001,A015,2026-04-17,Bar Cutting Machine,Rebar,4.686716183,0.0,5.624340225,5049.47,0.0,Idle
EQ00046,P001,A016,2026-04-27,Concrete Pump,Concrete,9.499959761,0.0,72.15101226,13348.36,0.0,Operational
EQ00047,P001,A016,2026-04-27,Needle Vibrator,Concrete,9.12598619,0.0,12.43436209,14084.72,0.0,Operational
EQ00048,P001,A016,2026-04-30,Bar Cutting Machine,Rebar,8.876811349,2.0,7.442441191,9756.15,3760.39,Breakdown
EQ00049,P001,A017,2026-05-09,Bar Cutting Machine,Rebar,8.563763393,0.0,7.938400135,13171.76,0.0,Operational
EQ00050,P001,A017,2026-05-17,Concrete Pump,Concrete,8.003771656,2.0,54.68363825,14734.46,3041.75,Breakdown
EQ00051,P001,A017,2026-05-18,Bar Bending Machine,Rebar,8.277230332,2.0,13.31197627,15144.53,2066.42,Breakdown
EQ00052,P001,A018,2026-05-28,Concrete Pump,Concrete,5.497135882,2.0,46.2632288,11764.73,4464.97,Breakdown
EQ00053,P001,A018,2026-06-01,Bar Bending Machine,Rebar,7.643246398,0.0,15.19213846,12527.04,0.0,Operational
EQ00054,P001,A018,2026-06-07,Concrete Mixer,Concrete,8.741887058,0.0,57.18741409,10672.59,0.0,Operational
EQ00055,P001,A019,2026-06-17,Tower Crane,Lifting,9.210996955,1.0,90.67383606,18929.1,1009.09,Maintenance
EQ00056,P001,A019,2026-06-28,Bar Bending Machine,Rebar,7.954355397,0.0,15.80260038,9857.9,0.0,Operational
EQ00057,P001,A019,2026-06-29,Concrete Mixer,Concrete,9.094921727,0.5,82.64806445,8330.21,691.98,Operational
EQ00058,P001,A020,2026-07-07,Transit Mixer,Concrete,7.518308478,0.0,71.34163583,9962.4,0.0,Operational
EQ00059,P001,A020,2026-07-09,Tower Crane,Lifting,8.637972371,2.0,36.66300638,18361.12,1186.59,Breakdown
EQ00060,P001,A020,2026-07-13,Bar Cutting Machine,Rebar,7.452121722,0.5,12.51647444,8144.99,429.37,Operational
EQ00061,P001,A021,2026-07-27,Transit Mixer,Concrete,6.816670762,0.5,53.90249394,8001.31,553.96,Operational
EQ00062,P001,A021,2026-07-27,Bar Bending Machine,Rebar,9.813849419,0.0,5.561373179,11633.93,0.0,Operational
EQ00063,P001,A021,2026-08-06,Tower Crane,Lifting,9.996936426,0.0,41.57101144,15663.18,0.0,Operational
EQ00064,P001,A022,2026-08-16,Concrete Pump,Concrete,8.227831114,2.0,35.41258327,12204.28,1686.55,Breakdown
EQ00065,P001,A022,2026-08-17,Tower Crane,Lifting,7.52239248,0.0,52.91202229,14034.73,0.0,Operational
EQ00066,P001,A022,2026-08-17,Transit Mixer,Concrete,9.53795192,0.0,67.79529141,11793.54,0.0,Operational
EQ00067,P001,A023,2026-08-31,Tower Crane,Lifting,8.32972921,2.0,76.47483993,10098.71,4359.5,Breakdown
EQ00068,P001,A023,2026-08-31,Transit Mixer,Concrete,4.471269783,1.0,28.10598828,8988.47,789.17,Maintenance
EQ00069,P001,A023,2026-09-17,Transit Mixer,Concrete,9.252629439,0.5,62.13187294,12570.2,368.13,Operational
EQ00070,P001,A024,2026-09-23,Bar Cutting Machine,Rebar,8.141987568,0.0,11.09672719,12638.24,0.0,Operational
EQ00071,P001,A024,2026-09-28,Bar Bending Machine,Rebar,8.195874254,2.0,10.64414679,14250.51,3425.58,Breakdown
EQ00072,P001,A024,2026-10-05,Concrete Pump,Concrete,7.748584061,0.0,51.61656354,14605.3,0.0,Operational
EQ00073,P001,A025,2026-10-08,Bar Bending Machine,Rebar,7.610553382,0.5,5.837845775,11588.77,507.3,Operational
EQ00074,P001,A025,2026-10-14,Bar Bending Machine,Rebar,4.020969887,0.0,7.220748524,6304.11,0.0,Idle
EQ00075,P001,A025,2026-10-25,Needle Vibrator,Concrete,8.157851261,0.0,13.90933464,17942.16,0.0,Operational
EQ00076,P001,A026,2026-04-16,Needle Vibrator,Concrete,4.560077474,0.0,4.975360514,4207.37,0.0,Idle
EQ00077,P001,A026,2026-04-20,Needle Vibrator,Concrete,4.959176655,0.0,7.925947799,5144.09,0.0,Idle
EQ00078,P001,A026,2026-04-27,Concrete Mixer,Concrete,4.651543702,0.0,18.8882438,8511.24,0.0,Idle
EQ00079,P001,A027,2026-05-06,Concrete Mixer,Concrete,9.911775539,1.0,64.1446061,19894.36,989.77,Maintenance
EQ00080,P001,A027,2026-05-11,Concrete Mixer,Concrete,5.601830712,0.5,31.59453777,5062.56,677.91,Operational
EQ00081,P001,A027,2026-05-13,Bar Bending Machine,Rebar,4.075211258,0.0,5.960892344,6756.37,0.0,Idle
EQ00082,P001,A028,2026-05-31,Bar Cutting Machine,Rebar,4.362781444,1.0,7.945802071,7212.71,2084.93,Maintenance
EQ00083,P001,A028,2026-06-06,Tower Crane,Lifting,4.732286799,0.0,38.87430424,9143.0,0.0,Idle
EQ00084,P001,A028,2026-06-11,Bar Cutting Machine,Rebar,8.909524148,0.0,7.209060027,11945.37,0.0,Operational
EQ00085,P001,A029,2026-06-14,Concrete Mixer,Concrete,4.154222629,2.0,24.37820997,7306.68,4956.94,Breakdown
EQ00086,P001,A029,2026-06-15,Needle Vibrator,Concrete,8.016704761,0.5,10.27244435,11143.16,849.78,Operational
EQ00087,P001,A029,2026-06-15,Tower Crane,Lifting,9.752748337,0.5,63.83524595,12992.4,1133.53,Operational
EQ00088,P001,A030,2026-07-07,Bar Bending Machine,Rebar,5.530460568,2.0,8.701869189,10773.82,2907.99,Breakdown
EQ00089,P001,A030,2026-07-11,Concrete Mixer,Concrete,9.068606461,0.0,56.27115716,11942.31,0.0,Operational
EQ00090,P001,A030,2026-07-20,Tower Crane,Lifting,8.098313302,0.0,39.05967823,11875.34,0.0,Operational
EQ00091,P001,A031,2026-07-26,Tower Crane,Lifting,7.963191798,0.0,60.22336887,15702.06,0.0,Operational
EQ00092,P001,A031,2026-07-28,Needle Vibrator,Concrete,6.116856617,0.0,11.18750241,9941.96,0.0,Operational
EQ00093,P001,A031,2026-08-07,Needle Vibrator,Concrete,6.706404349,1.0,12.33016471,13168.66,1412.5,Maintenance
EQ00094,P001,A032,2026-08-16,Bar Bending Machine,Rebar,4.738963515,0.0,7.500284632,7694.52,0.0,Idle
EQ00095,P001,A032,2026-08-17,Concrete Pump,Concrete,9.875381286,0.5,46.75371692,14773.87,744.16,Operational
EQ00096,P001,A032,2026-08-21,Tower Crane,Lifting,7.189481266,0.0,54.89789795,7941.13,0.0,Operational
EQ00097,P001,A033,2026-09-18,Concrete Pump,Concrete,7.782000322,0.0,70.31056944,14489.02,0.0,Operational
EQ00098,P001,A033,2026-09-23,Bar Cutting Machine,Rebar,7.751288738,0.0,8.451615985,10795.52,0.0,Operational
EQ00099,P001,A033,2026-09-23,Tower Crane,Lifting,4.775855513,0.0,30.26301769,4512.91,0.0,Idle
EQ00100,P001,A034,2026-09-29,Concrete Mixer,Concrete,8.837004981,0.5,64.12244163,17765.11,1046.07,Operational
EQ00101,P001,A034,2026-10-05,Tower Crane,Lifting,9.862038208,0.0,40.32079214,16527.69,0.0,Operational
EQ00102,P001,A034,2026-10-12,Concrete Pump,Concrete,7.591418754,0.0,46.85981765,7430.48,0.0,Operational
EQ00103,P001,A035,2026-10-19,Concrete Mixer,Concrete,7.665338664,0.0,51.60903733,13793.76,0.0,Operational
EQ00104,P001,A035,2026-10-25,Tower Crane,Lifting,5.625900888,0.0,53.22024963,8269.16,0.0,Operational
EQ00105,P001,A035,2026-11-06,Bar Bending Machine,Rebar,8.792372435,0.0,9.85176896,10694.71,0.0,Operational
EQ00106,P001,A036,2026-11-13,Bar Cutting Machine,Rebar,8.067328153,2.0,7.872686895,14002.9,4328.27,Breakdown
EQ00107,P001,A036,2026-11-19,Concrete Pump,Concrete,8.91849094,0.0,56.64542116,12067.23,0.0,Operational
EQ00108,P001,A036,2026-11-25,Needle Vibrator,Concrete,9.862671523,0.0,12.57080465,13814.88,0.0,Operational
EQ00109,P001,A037,2026-04-26,Concrete Pump,Concrete,8.337439612,0.0,52.5664422,14190.87,0.0,Operational
EQ00110,P001,A037,2026-04-29,Concrete Pump,Concrete,7.932129509,0.0,53.28928889,14555.69,0.0,Operational
EQ00111,P001,A037,2026-05-07,Tower Crane,Lifting,9.07756518,0.0,54.12249653,16599.64,0.0,Operational
EQ00112,P001,A038,2026-05-21,Transit Mixer,Concrete,8.636158139,0.5,44.39197155,14011.53,408.1,Operational
EQ00113,P001,A038,2026-05-26,Tower Crane,Lifting,7.98396294,0.0,55.55584445,11125.4,0.0,Operational
EQ00114,P001,A038,2026-05-31,Transit Mixer,Concrete,7.15774471,1.0,69.43240654,10390.72,2076.15,Maintenance
EQ00115,P001,A039,2026-06-13,Concrete Pump,Concrete,6.028513488,0.0,42.26487653,6932.42,0.0,Operational
EQ00116,P001,A039,2026-06-23,Concrete Mixer,Concrete,5.140554157,0.0,50.45207347,9025.33,0.0,Operational
EQ00117,P001,A039,2026-06-26,Concrete Mixer,Concrete,6.939326752,0.0,51.67180238,11282.15,0.0,Operational
EQ00118,P001,A040,2026-07-03,Bar Bending Machine,Rebar,8.468147016,0.5,10.50796832,14429.07,507.47,Operational
EQ00119,P001,A040,2026-07-17,Bar Bending Machine,Rebar,6.404320045,2.0,4.761547475,6229.42,3544.69,Breakdown
EQ00120,P001,A040,2026-07-21,Concrete Pump,Concrete,9.374766981,2.0,76.99146822,20509.9,3891.31,Breakdown
EQ00121,P001,A041,2026-07-29,Bar Cutting Machine,Rebar,4.478599855,0.5,5.044293388,5205.76,1203.5,Idle
EQ00122,P001,A041,2026-07-31,Transit Mixer,Concrete,9.97358516,2.0,82.33567479,14263.24,1558.04,Breakdown
EQ00123,P001,A041,2026-08-02,Concrete Pump,Concrete,6.021561086,1.0,35.93950262,7102.6,724.69,Maintenance
EQ00124,P001,A042,2026-08-22,Bar Bending Machine,Rebar,4.511330055,2.0,4.453291638,7159.41,2418.05,Breakdown
EQ00125,P001,A042,2026-08-23,Transit Mixer,Concrete,4.260520361,0.5,33.62154622,6955.4,930.97,Idle
EQ00126,P001,A042,2026-08-25,Concrete Pump,Concrete,6.627421495,0.5,40.43289948,7915.57,750.07,Operational
EQ00127,P001,A043,2026-09-10,Concrete Pump,Concrete,8.067233761,2.0,35.31308517,14100.17,2591.1,Breakdown
EQ00128,P001,A043,2026-09-29,Concrete Mixer,Concrete,8.810950219,1.0,85.83841565,12804.7,1028.65,Maintenance
EQ00129,P001,A043,2026-09-30,Needle Vibrator,Concrete,7.651682432,0.0,10.96881994,10087.31,0.0,Operational
EQ00130,P001,A044,2026-10-07,Transit Mixer,Concrete,4.743402075,0.0,45.33601366,4354.45,0.0,Idle
EQ00131,P001,A044,2026-10-16,Tower Crane,Lifting,6.160318765,2.0,44.12382856,11116.41,2268.68,Breakdown
EQ00132,P001,A044,2026-10-19,Concrete Mixer,Concrete,8.902617102,0.0,75.42416496,17368.87,0.0,Operational
EQ00133,P001,A045,2026-11-03,Bar Bending Machine,Rebar,7.616707403,0.5,12.26145827,14278.67,1135.75,Operational
EQ00134,P001,A045,2026-11-04,Bar Cutting Machine,Rebar,6.095930051,0.0,5.610911323,10198.12,0.0,Operational
EQ00135,P001,A045,2026-11-09,Bar Cutting Machine,Rebar,8.746006517,0.5,11.04690884,11667.21,419.04,Operational
EQ00136,P001,A046,2026-11-23,Tower Crane,Lifting,5.853817254,2.0,57.65164705,7106.07,3892.28,Breakdown
EQ00137,P001,A046,2026-11-25,Needle Vibrator,Concrete,8.181220297,0.5,11.99315288,14879.78,1155.55,Operational
EQ00138,P001,A046,2026-11-27,Needle Vibrator,Concrete,4.407092697,0.5,3.99387554,8023.93,744.07,Idle
EQ00139,P001,A047,2026-12-17,Bar Cutting Machine,Rebar,6.295775638,1.0,9.980707762,11512.39,1930.62,Maintenance
EQ00140,P001,A047,2026-12-21,Bar Bending Machine,Rebar,9.34214801,2.0,18.22287144,9855.5,3527.84,Breakdown
EQ00141,P001,A047,2026-12-22,Bar Cutting Machine,Rebar,8.301559276,0.0,7.739648144,13407.42,0.0,Operational
EQ00142,P001,A048,2026-04-25,Concrete Pump,Concrete,5.054241956,0.0,37.69622888,7150.69,0.0,Operational
EQ00143,P001,A048,2026-05-06,Needle Vibrator,Concrete,7.227078467,0.5,5.491102637,12119.3,817.36,Operational
EQ00144,P001,A048,2026-05-25,Bar Bending Machine,Rebar,6.169419579,1.0,5.386762603,13181.49,1622.44,Maintenance
EQ00145,P001,A049,2026-06-02,Tower Crane,Lifting,8.716217906,0.0,85.53122081,18785.66,0.0,Operational
EQ00146,P001,A049,2026-07-20,Generator,Power,8.598697487,2.0,66.85648636,14420.62,1218.17,Breakdown
EQ00147,P001,A049,2026-07-28,Tower Crane,Lifting,4.031090499,0.5,19.21883783,4978.19,1156.96,Idle
EQ00148,P001,A049,2026-07-28,Tower Crane,Lifting,7.111796052,1.0,64.21859746,13195.41,1282.77,Maintenance
EQ00149,P001,A049,2026-07-31,Generator,Power,9.183156363,0.5,77.67948089,19027.93,848.66,Operational
EQ00150,P001,A050,2026-06-15,Tower Crane,Lifting,8.869424176,0.0,35.54634309,14073.83,0.0,Operational
EQ00151,P001,A050,2026-06-29,Tower Crane,Lifting,9.859258081,0.5,81.91956796,11992.8,1217.55,Operational
EQ00152,P001,A050,2026-07-24,Tower Crane,Lifting,6.289249904,0.5,26.17343418,10184.72,1236.71,Operational
EQ00153,P001,A050,2026-08-09,Tower Crane,Lifting,9.87864121,1.0,68.12530181,10180.85,1544.35,Maintenance
EQ00154,P001,A050,2026-08-10,Tower Crane,Lifting,7.598209594,0.0,58.29868106,15725.26,0.0,Operational
EQ00155,P001,A050,2026-08-20,Tower Crane,Lifting,5.373602646,0.0,25.48870195,5996.57,0.0,Operational
EQ00156,P001,A051,2026-07-04,Generator,Power,9.322135543,1.0,89.11520032,16390.44,894.79,Maintenance
EQ00157,P001,A051,2026-07-06,Tower Crane,Lifting,5.392149723,0.0,52.69070193,11598.78,0.0,Operational
EQ00158,P001,A051,2026-07-07,Tower Crane,Lifting,7.060063494,0.0,40.59627265,15345.48,0.0,Operational
EQ00159,P001,A052,2026-08-03,Tower Crane,Lifting,9.140384321,0.0,44.25925826,15165.99,0.0,Operational
EQ00160,P001,A052,2026-08-10,Tower Crane,Lifting,4.074016987,0.0,22.97769952,3994.08,0.0,Idle
EQ00161,P001,A052,2026-08-28,Tower Crane,Lifting,8.318111565,1.0,80.55510672,12103.85,1915.6,Maintenance
EQ00162,P001,A052,2026-09-02,Tower Crane,Lifting,5.302277819,0.5,30.86718398,8424.14,1046.66,Operational
EQ00163,P001,A052,2026-09-09,Tower Crane,Lifting,5.366449217,0.0,53.45409592,5636.13,0.0,Operational
EQ00164,P001,A052,2026-10-14,Generator,Power,9.033361116,1.0,79.21810998,10574.65,1765.16,Maintenance
EQ00165,P001,A053,2026-08-25,Tower Crane,Lifting,5.086716327,2.0,34.99186182,8372.3,4347.8,Breakdown
EQ00166,P001,A053,2026-08-28,Tower Crane,Lifting,8.614205366,2.0,48.07532675,13115.51,2341.74,Breakdown
EQ00167,P001,A053,2026-10-01,Generator,Power,5.409569077,1.0,32.65633418,6669.73,1643.8,Maintenance
EQ00168,P001,A053,2026-10-02,Tower Crane,Lifting,4.373810622,1.0,18.67012211,7583.5,1636.38,Maintenance
EQ00169,P001,A053,2026-10-03,Tower Crane,Lifting,6.024880138,0.0,58.7276336,9999.55,0.0,Operational
EQ00170,P001,A054,2026-08-22,Generator,Power,9.378280297,1.0,59.04812169,16853.08,959.77,Maintenance
EQ00171,P001,A054,2026-08-25,Tower Crane,Lifting,6.39493378,0.5,25.83994239,13699.14,1118.44,Operational
EQ00172,P001,A054,2026-09-07,Tower Crane,Lifting,9.986543885,0.0,58.94823218,14944.84,0.0,Operational
EQ00173,P001,A055,2026-11-29,Tower Crane,Lifting,7.993523003,2.0,52.23049634,10409.43,3707.1,Breakdown
EQ00174,P001,A055,2026-12-03,Tower Crane,Lifting,4.81581634,0.0,39.81840824,5312.29,0.0,Idle
EQ00175,P001,A055,2026-12-19,Tower Crane,Lifting,8.277284333,0.0,37.82128829,16617.43,0.0,Operational
EQ00176,P001,A056,2026-09-27,Tower Crane,Lifting,7.35088704,0.5,61.80788229,16164.88,828.55,Operational
EQ00177,P001,A056,2026-10-13,Generator,Power,8.465642304,1.0,77.33237609,18123.94,886.17,Maintenance
EQ00178,P001,A056,2026-10-14,Tower Crane,Lifting,7.51811097,0.0,50.33954473,12344.28,0.0,Operational
EQ00179,P001,A056,2026-10-14,Tower Crane,Lifting,6.504494951,2.0,54.03671541,7518.15,3138.21,Breakdown
EQ00180,P001,A056,2026-11-15,Tower Crane,Lifting,7.022503403,0.0,51.06777645,13034.32,0.0,Operational
EQ00181,P001,A056,2026-11-18,Generator,Power,4.034385404,0.0,18.93302875,8734.36,0.0,Idle
EQ00182,P001,A056,2026-11-19,Generator,Power,5.55311764,0.0,36.75329667,9978.52,0.0,Operational
EQ00183,P001,A057,2026-09-27,Tower Crane,Lifting,5.949580067,0.0,47.31725074,9427.82,0.0,Operational
EQ00184,P001,A057,2026-09-29,Tower Crane,Lifting,7.323174888,0.0,64.26707804,15691.95,0.0,Operational
EQ00185,P001,A057,2026-10-10,Tower Crane,Lifting,9.303480873,0.0,75.87287547,12900.12,0.0,Operational
EQ00186,P001,A057,2026-10-23,Generator,Power,4.033836909,0.5,30.81462131,5740.26,793.77,Idle
EQ00187,P001,A057,2026-12-03,Generator,Power,4.243162205,2.0,32.84275246,6655.57,4148.3,Breakdown
EQ00188,P001,A058,2026-10-26,Generator,Power,4.409578633,1.0,35.91743247,8070.71,1050.33,Maintenance
EQ00189,P001,A058,2026-11-23,Tower Crane,Lifting,5.283114853,0.0,27.41326504,8352.17,0.0,Operational
EQ00190,P001,A058,2026-11-26,Generator,Power,4.630469554,0.5,19.26894818,6089.43,441.86,Idle
EQ00191,P001,A058,2026-12-15,Generator,Power,5.817977804,2.0,31.02369476,6724.42,2495.41,Breakdown
EQ00192,P001,A058,2026-12-17,Generator,Power,8.69167165,0.5,53.77934882,14895.46,732.06,Operational
EQ00193,P001,A059,2026-10-02,Tower Crane,Lifting,8.221523543,1.0,55.84588208,17950.52,2258.19,Maintenance
EQ00194,P001,A059,2026-10-21,Generator,Power,5.181728018,2.0,39.41070747,8266.18,3055.75,Breakdown
EQ00195,P001,A059,2026-11-03,Generator,Power,9.120466857,0.0,65.90664512,8787.73,0.0,Operational
EQ00196,P001,A059,2026-11-23,Generator,Power,9.448249372,2.0,40.68155284,19361.26,4306.67,Breakdown
EQ00197,P001,A059,2026-11-30,Generator,Power,7.280105269,0.0,53.68770203,7068.73,0.0,Operational
EQ00198,P001,A060,2026-10-02,Tower Crane,Lifting,9.160142697,0.5,37.79716048,11095.28,959.86,Operational
EQ00199,P001,A060,2026-10-27,Generator,Power,8.541058258,0.0,67.82050949,14483.98,0.0,Operational
EQ00200,P001,A060,2026-10-30,Tower Crane,Lifting,8.311950566,0.0,41.14000835,8914.94,0.0,Operational
EQ00201,P001,A060,2026-11-20,Tower Crane,Lifting,9.48125589,0.0,44.56485481,15611.39,0.0,Operational
EQ00202,P001,A060,2026-11-24,Generator,Power,6.210303625,0.0,55.72869298,6755.49,0.0,Operational
EQ00203,P001,A060,2026-12-13,Tower Crane,Lifting,9.903367983,0.5,44.32154232,20601.03,893.08,Operational
EQ00204,P001,A061,2026-10-28,Tower Crane,Lifting,6.862763367,2.0,49.32905512,10213.04,1290.37,Breakdown
EQ00205,P001,A061,2026-11-13,Generator,Power,4.758470462,1.0,30.29918028,6675.51,1060.08,Maintenance
EQ00206,P001,A061,2026-11-26,Tower Crane,Lifting,7.708054662,0.0,45.23336119,8665.9,0.0,Operational
EQ00207,P001,A061,2026-11-28,Tower Crane,Lifting,6.751502943,2.0,40.25325908,6493.1,1147.41,Breakdown
EQ00208,P001,A061,2026-12-02,Tower Crane,Lifting,9.58145211,0.0,80.33330193,12973.77,0.0,Operational
EQ00209,P001,A062,2026-08-29,Tower Crane,Lifting,6.167039863,2.0,49.01448444,8669.39,4606.93,Breakdown
EQ00210,P001,A062,2026-09-05,Tower Crane,Lifting,6.929511342,0.5,33.21216259,14361.35,796.82,Operational
EQ00211,P001,A062,2026-09-11,Tower Crane,Lifting,9.267561351,0.0,40.09742541,12124.75,0.0,Operational
EQ00212,P001,A062,2026-09-22,Tower Crane,Lifting,6.860405532,0.0,38.32152221,7334.51,0.0,Operational
EQ00213,P001,A062,2026-09-26,Generator,Power,9.717679084,0.0,72.4202143,14922.94,0.0,Operational
EQ00214,P001,A062,2026-09-26,Generator,Power,4.847556855,1.0,27.42155882,8496.18,1458.13,Maintenance
EQ00215,P001,A062,2026-10-12,Generator,Power,9.382659064,1.0,83.8831821,10691.26,682.94,Maintenance
EQ00216,P001,A062,2026-10-17,Generator,Power,8.70118415,0.0,82.51321215,18299.32,0.0,Operational
EQ00217,P001,A063,2026-10-22,Generator,Power,7.290189054,0.5,32.62590924,15632.97,675.8,Operational
EQ00218,P001,A063,2026-10-24,Tower Crane,Lifting,6.103123869,0.5,38.28859739,12990.47,312.7,Operational
EQ00219,P001,A063,2026-11-23,Tower Crane,Lifting,4.714367724,0.0,34.39818114,5030.69,0.0,Idle
EQ00220,P001,A063,2026-12-13,Generator,Power,5.34540609,2.0,21.83747085,6312.48,3953.28,Breakdown
EQ00221,P001,A063,2026-12-15,Tower Crane,Lifting,9.132602138,2.0,57.89598692,12011.54,4999.44,Breakdown
EQ00222,P001,A064,2026-09-05,Tower Crane,Lifting,7.092186093,0.0,28.95081332,15228.48,0.0,Operational
EQ00223,P001,A064,2026-09-09,Generator,Power,7.534949466,0.5,64.72463627,14003.28,345.16,Operational
EQ00224,P001,A064,2026-09-14,Tower Crane,Lifting,7.569966234,0.5,68.23120214,8841.1,1127.63,Operational
EQ00225,P001,A064,2026-09-24,Generator,Power,6.76888643,0.0,31.36517404,7832.59,0.0,Operational
EQ00226,P001,A064,2026-10-13,Tower Crane,Lifting,6.978434827,0.0,35.73206653,15285.89,0.0,Operational
