Inspection_ID,Project_ID,Activity_ID,Date,Contractor_ID,Inspection_Type,Test_or_Check,Result,Defect_Type,Defect_Severity,Rework_Required,Rework_Cost_INR,Remarks
Q00027,P001,A006,2026-02-02,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00028,P001,A006,2026-02-03,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00029,P001,A006,2026-02-03,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00030,P001,A006,2026-02-10,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00031,P001,A007,2026-02-06,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00032,P001,A007,2026-02-07,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00033,P001,A007,2026-02-09,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00034,P001,A007,2026-02-18,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00035,P001,A007,2026-02-20,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00036,P001,A008,2026-01-21,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00037,P001,A008,2026-01-22,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00038,P001,A008,2026-01-24,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00039,P001,A008,2026-01-30,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00040,P001,A008,2026-01-31,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00041,P001,A009,2026-02-16,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00042,P001,A009,2026-02-18,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00043,P001,A009,2026-02-23,C002,Rebar inspection,Rebar inspection,Conditional Pass,Workmanship,Medium,No,2114.53,Inspection completed; corrective action tracked where required.
Q00044,P001,A009,2026-02-27,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00045,P001,A009,2026-03-01,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00046,P001,A010,2026-02-23,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00047,P001,A010,2026-02-28,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00048,P001,A010,2026-03-02,C002,RCC inspection,RCC inspection,Conditional Pass,Honeycombing,Low,No,4781.7,Inspection completed; corrective action tracked where required.
Q00049,P001,A010,2026-03-06,C002,Concrete inspection,Concrete inspection,Conditional Pass,Reinforcement Issue,Medium,No,1909.38,Inspection completed; corrective action tracked where required.
Q00050,P001,A010,2026-03-13,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00051,P001,A011,2026-03-18,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00052,P001,A011,2026-03-22,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00053,P001,A011,2026-03-23,C002,Concrete inspection,Concrete inspection,Fail,Honeycombing,Low,Yes,8368.59,Inspection completed; corrective action tracked where required.
Q00054,P001,A011,2026-03-28,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00055,P001,A011,2026-03-28,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00056,P001,A012,2026-03-22,C002,Rebar inspection,Rebar inspection,Conditional Pass,Surface Finish,Medium,No,3812.01,Inspection completed; corrective action tracked where required.
Q00057,P001,A012,2026-03-26,C002,Concrete inspection,Concrete inspection,Fail,Reinforcement Issue,Low,Yes,12868.73,Inspection completed; corrective action tracked where required.
Q00058,P001,A012,2026-03-27,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00059,P001,A012,2026-03-28,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00060,P001,A012,2026-03-31,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00061,P001,A013,2026-03-25,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00062,P001,A013,2026-03-28,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00063,P001,A013,2026-04-01,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00064,P001,A013,2026-04-06,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00065,P001,A013,2026-04-08,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00066,P001,A014,2026-04-11,C001,Rebar inspection,Rebar inspection,Conditional Pass,Crack,Low,No,1640.72,Inspection completed; corrective action tracked where required.
Q00067,P001,A014,2026-04-13,C001,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00068,P001,A014,2026-04-13,C001,RCC inspection,RCC inspection,Conditional Pass,Dimension,Low,No,731.95,Inspection completed; corrective action tracked where required.
Q00069,P001,A014,2026-04-13,C001,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00070,P001,A014,2026-04-16,C001,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00071,P001,A015,2026-04-03,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00072,P001,A015,2026-04-07,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00073,P001,A015,2026-04-11,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00074,P001,A015,2026-04-14,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00075,P001,A015,2026-04-17,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00076,P001,A016,2026-04-24,C002,Concrete inspection,Concrete inspection,Conditional Pass,Crack,Medium,No,1490.61,Inspection completed; corrective action tracked where required.
Q00077,P001,A016,2026-04-24,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00078,P001,A016,2026-04-26,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00079,P001,A016,2026-05-01,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00080,P001,A016,2026-05-05,C002,Rebar inspection,Rebar inspection,Conditional Pass,Surface Finish,Medium,No,3254.72,Inspection completed; corrective action tracked where required.
Q00081,P001,A017,2026-05-14,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00082,P001,A017,2026-05-22,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00083,P001,A017,2026-05-23,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00084,P001,A017,2026-05-25,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00085,P001,A017,2026-05-25,C002,Concrete inspection,Concrete inspection,Conditional Pass,Honeycombing,Medium,No,4759.16,Inspection completed; corrective action tracked where required.
Q00086,P001,A018,2026-05-28,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00087,P001,A018,2026-06-01,C002,Rebar inspection,Rebar inspection,Fail,Honeycombing,Low,Yes,22920.08,Inspection completed; corrective action tracked where required.
Q00088,P001,A018,2026-06-04,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00089,P001,A018,2026-06-04,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00090,P001,A018,2026-06-11,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00091,P001,A019,2026-06-19,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00092,P001,A019,2026-06-19,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00093,P001,A019,2026-06-26,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00094,P001,A019,2026-06-28,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00095,P001,A019,2026-06-30,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00096,P001,A020,2026-07-08,C002,Rebar inspection,Rebar inspection,Fail,Dimension,Low,Yes,18012.05,Inspection completed; corrective action tracked where required.
Q00097,P001,A020,2026-07-08,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00098,P001,A020,2026-07-10,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00099,P001,A020,2026-07-15,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00100,P001,A020,2026-07-21,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00101,P001,A021,2026-07-27,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00102,P001,A021,2026-07-28,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00103,P001,A021,2026-07-30,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00104,P001,A021,2026-08-04,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00105,P001,A021,2026-08-06,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00106,P001,A022,2026-08-13,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00107,P001,A022,2026-08-17,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00108,P001,A022,2026-08-22,C002,Rebar inspection,Rebar inspection,Conditional Pass,Surface Finish,Low,No,1923.97,Inspection completed; corrective action tracked where required.
Q00109,P001,A022,2026-08-24,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00110,P001,A022,2026-08-25,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00111,P001,A023,2026-09-02,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00112,P001,A023,2026-09-11,C002,Concrete inspection,Concrete inspection,Conditional Pass,Honeycombing,Low,No,2214.57,Inspection completed; corrective action tracked where required.
Q00113,P001,A023,2026-09-14,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00114,P001,A023,2026-09-16,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00115,P001,A023,2026-09-16,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00116,P001,A024,2026-09-19,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00117,P001,A024,2026-09-22,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00118,P001,A024,2026-09-27,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00119,P001,A024,2026-09-28,C002,RCC inspection,RCC inspection,Fail,Workmanship,Low,Yes,29799.46,Inspection completed; corrective action tracked where required.
Q00120,P001,A024,2026-10-03,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00121,P001,A025,2026-10-08,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00122,P001,A025,2026-10-09,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00123,P001,A025,2026-10-14,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00124,P001,A025,2026-10-16,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00125,P001,A025,2026-10-19,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00126,P001,A026,2026-04-13,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00127,P001,A026,2026-04-14,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00128,P001,A026,2026-04-24,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00129,P001,A026,2026-04-24,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00130,P001,A026,2026-04-25,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00131,P001,A027,2026-05-04,C002,Rebar inspection,Rebar inspection,Conditional Pass,Crack,Low,No,3414.47,Inspection completed; corrective action tracked where required.
Q00132,P001,A027,2026-05-05,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00133,P001,A027,2026-05-10,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00134,P001,A027,2026-05-15,C002,Rebar inspection,Rebar inspection,Fail,Reinforcement Issue,Low,Yes,5009.43,Inspection completed; corrective action tracked where required.
Q00135,P001,A027,2026-05-16,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00136,P001,A028,2026-05-24,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00137,P001,A028,2026-05-29,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00138,P001,A028,2026-05-31,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00139,P001,A028,2026-06-10,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00140,P001,A028,2026-06-11,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00141,P001,A029,2026-06-18,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00142,P001,A029,2026-06-19,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00143,P001,A029,2026-06-21,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00144,P001,A029,2026-06-23,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00145,P001,A029,2026-07-01,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00146,P001,A030,2026-07-07,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00147,P001,A030,2026-07-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00148,P001,A030,2026-07-12,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00149,P001,A030,2026-07-15,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00150,P001,A030,2026-07-22,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00151,P001,A031,2026-07-28,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00152,P001,A031,2026-07-30,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00153,P001,A031,2026-08-02,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00154,P001,A031,2026-08-04,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00155,P001,A031,2026-08-14,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00156,P001,A032,2026-08-17,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00157,P001,A032,2026-08-21,C002,RCC inspection,RCC inspection,Conditional Pass,Leakage,Low,No,4207.16,Inspection completed; corrective action tracked where required.
Q00158,P001,A032,2026-08-24,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00159,P001,A032,2026-09-02,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00160,P001,A032,2026-09-03,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00161,P001,A033,2026-09-10,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00162,P001,A033,2026-09-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00163,P001,A033,2026-09-15,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00164,P001,A033,2026-09-15,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00165,P001,A033,2026-09-18,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00166,P001,A034,2026-09-28,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00167,P001,A034,2026-10-09,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00168,P001,A034,2026-10-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00169,P001,A034,2026-10-12,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00170,P001,A034,2026-10-16,C002,RCC inspection,RCC inspection,Conditional Pass,Leakage,Low,No,3351.82,Inspection completed; corrective action tracked where required.
Q00171,P001,A035,2026-10-20,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00172,P001,A035,2026-10-23,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00173,P001,A035,2026-10-23,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00174,P001,A035,2026-10-24,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00175,P001,A035,2026-11-05,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00176,P001,A036,2026-11-09,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00177,P001,A036,2026-11-10,C002,RCC inspection,RCC inspection,Conditional Pass,Leakage,Low,No,4911.15,Inspection completed; corrective action tracked where required.
Q00178,P001,A036,2026-11-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00179,P001,A036,2026-11-19,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00180,P001,A036,2026-11-25,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00181,P001,A037,2026-05-02,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00182,P001,A037,2026-05-03,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00183,P001,A037,2026-05-06,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00184,P001,A037,2026-05-08,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00185,P001,A037,2026-05-15,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00186,P001,A038,2026-05-24,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00187,P001,A038,2026-05-30,C002,RCC inspection,RCC inspection,Conditional Pass,Material Quality,Low,No,2872.34,Inspection completed; corrective action tracked where required.
Q00188,P001,A038,2026-05-30,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00189,P001,A038,2026-05-31,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00190,P001,A038,2026-06-04,C002,RCC inspection,RCC inspection,Conditional Pass,Leakage,Low,No,2782.78,Inspection completed; corrective action tracked where required.
Q00191,P001,A039,2026-06-11,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00192,P001,A039,2026-06-11,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00193,P001,A039,2026-06-20,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00194,P001,A039,2026-06-22,C002,Concrete inspection,Concrete inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00195,P001,A039,2026-06-23,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00196,P001,A040,2026-07-04,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00197,P001,A040,2026-07-06,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00198,P001,A040,2026-07-12,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00199,P001,A040,2026-07-21,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00200,P001,A040,2026-07-24,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00201,P001,A041,2026-07-27,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00202,P001,A041,2026-08-02,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00203,P001,A041,2026-08-08,C002,Rebar inspection,Rebar inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00204,P001,A041,2026-08-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00205,P001,A041,2026-08-11,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00206,P001,A042,2026-08-20,C002,RCC inspection,RCC inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
