Progress_ID,Project_ID,Activity_ID,Date,Planned_Quantity_To_Date,Actual_Quantity_To_Date,Planned_Percentage,Actual_Percentage,Quantity_Completed_This_Period,Status,Delay_Days
PR00027,P001,A001,2026-07-05,1,0.941099558,100.00,94.11,0,Delayed,0
PR00028,P001,A001,2026-07-12,1,0.988279024,100.00,98.83,0.047179466,In Progress,0
PR00029,P001,A001,2026-07-19,1,1,100.00,100.00,0.011720976,Completed,0
PR00030,P001,A001,2026-07-26,1,1,100.00,100.00,0,Completed,0
PR00031,P001,A001,2026-08-02,1,1,100.00,100.00,0,Completed,0
PR00032,P001,A001,2026-08-09,1,1,100.00,100.00,0,Completed,0
PR00033,P001,A001,2026-08-16,1,0.987794622,100.00,98.78,0,In Progress,0
PR00034,P001,A001,2026-08-23,1,0.983817687,100.00,98.38,0,In Progress,0
PR00035,P001,A001,2026-08-30,1,1,100.00,100.00,0.016182313,Completed,0
PR00036,P001,A001,2026-09-06,1,0.993304349,100.00,99.33,0,In Progress,0
PR00037,P001,A001,2026-09-13,1,0.955350979,100.00,95.54,0,In Progress,0
PR00038,P001,A001,2026-09-20,1,0.960334948,100.00,96.03,0.004983969,In Progress,0
PR00039,P001,A001,2026-09-27,1,0.96781917,100.00,96.78,0.007484222,In Progress,0
PR00040,P001,A001,2026-10-04,1,1,100.00,100.00,0.03218083,Completed,0
PR00041,P001,A001,2026-10-11,1,1,100.00,100.00,0,Completed,0
PR00042,P001,A001,2026-10-18,1,1,100.00,100.00,0,Completed,0
PR00043,P001,A001,2026-10-25,1,0.985046157,100.00,98.50,0,In Progress,0
PR00044,P001,A001,2026-11-01,1,1,100.00,100.00,0.014953843,Completed,0
PR00045,P001,A001,2026-11-08,1,1,100.00,100.00,0,Completed,0
PR00046,P001,A001,2026-11-15,1,0.989172871,100.00,98.92,0,In Progress,0
PR00047,P001,A001,2026-11-22,1,1,100.00,100.00,0.010827129,Completed,0
PR00048,P001,A001,2026-11-29,1,0.976832592,100.00,97.68,0,In Progress,0
PR00049,P001,A001,2026-12-06,1,0.987293115,100.00,98.73,0.010460523,In Progress,0
PR00050,P001,A001,2026-12-13,1,0.986639174,100.00,98.66,0,In Progress,0
PR00051,P001,A001,2026-12-20,1,0.958145612,100.00,95.81,0,In Progress,0
PR00052,P001,A001,2026-12-27,1,1,100.00,100.00,0.041854388,Completed,0
PR00053,P001,A002,2026-01-04,1500,1355.356377,30.00,27.11,1355.356377,In Progress,8
PR00054,P001,A002,2026-01-11,5000,4602.186471,100.00,92.04,3246.830094,Delayed,8
PR00055,P001,A002,2026-01-18,5000,4684.130665,100.00,93.68,81.94419453,Delayed,8
PR00056,P001,A002,2026-01-25,5000,4678.142956,100.00,93.56,0,Delayed,8
PR00057,P001,A002,2026-02-01,5000,4716.442394,100.00,94.33,38.29943826,Delayed,8
PR00058,P001,A002,2026-02-08,5000,4582.76504,100.00,91.66,0,Delayed,8
PR00059,P001,A002,2026-02-15,5000,4525.922795,100.00,90.52,0,Delayed,8
PR00060,P001,A002,2026-02-22,5000,4586.049313,100.00,91.72,60.1265177,Delayed,8
PR00061,P001,A002,2026-03-01,5000,4304.716474,100.00,86.09,0,Delayed,8
PR00062,P001,A002,2026-03-08,5000,4346.755317,100.00,86.94,42.03884327,Delayed,8
PR00063,P001,A002,2026-03-15,5000,4368.527568,100.00,87.37,21.77225051,Delayed,8
PR00064,P001,A002,2026-03-22,5000,4425.481805,100.00,88.51,56.95423733,Delayed,8
PR00065,P001,A002,2026-03-29,5000,4669.96049,100.00,93.40,244.4786845,Delayed,8
PR00066,P001,A002,2026-04-05,5000,4441.541165,100.00,88.83,0,Delayed,8
PR00067,P001,A002,2026-04-12,5000,4533.821553,100.00,90.68,92.28038773,Delayed,8
PR00068,P001,A002,2026-04-19,5000,4827.364952,100.00,96.55,293.5433991,In Progress,8
PR00069,P001,A002,2026-04-26,5000,4537.653805,100.00,90.75,0,Delayed,8
PR00070,P001,A002,2026-05-03,5000,4729.065224,100.00,94.58,191.4114194,Delayed,8
PR00071,P001,A002,2026-05-10,5000,4436.616906,100.00,88.73,0,Delayed,8
PR00072,P001,A002,2026-05-17,5000,4564.048427,100.00,91.28,127.4315214,Delayed,8
PR00073,P001,A002,2026-05-24,5000,4433.74614,100.00,88.67,0,Delayed,8
PR00074,P001,A002,2026-05-31,5000,4540.669212,100.00,90.81,106.9230713,Delayed,8
PR00075,P001,A002,2026-06-07,5000,4747.053924,100.00,94.94,206.3847123,Delayed,8
PR00076,P001,A002,2026-06-14,5000,4297.718926,100.00,85.95,0,Delayed,8
PR00077,P001,A002,2026-06-21,5000,4676.024138,100.00,93.52,378.3052117,Delayed,8
PR00078,P001,A002,2026-06-28,5000,4641.60373,100.00,92.83,0,Delayed,8
PR00079,P001,A002,2026-07-05,5000,4496.023758,100.00,89.92,0,Delayed,8
PR00080,P001,A002,2026-07-12,5000,4346.939875,100.00,86.94,0,Delayed,8
PR00081,P001,A002,2026-07-19,5000,4612.622664,100.00,92.25,265.6827884,Delayed,8
PR00082,P001,A002,2026-07-26,5000,4507.338776,100.00,90.15,0,Delayed,8
PR00083,P001,A002,2026-08-02,5000,4640.718337,100.00,92.81,133.3795611,Delayed,8
PR00084,P001,A002,2026-08-09,5000,4603.824125,100.00,92.08,0,Delayed,8
PR00085,P001,A002,2026-08-16,5000,4880.311306,100.00,97.61,276.4871805,In Progress,8
PR00086,P001,A002,2026-08-23,5000,4558.112765,100.00,91.16,0,Delayed,8
PR00087,P001,A002,2026-08-30,5000,4420.887939,100.00,88.42,0,Delayed,8
PR00088,P001,A002,2026-09-06,5000,4631.373236,100.00,92.63,210.4852973,Delayed,8
PR00089,P001,A002,2026-09-13,5000,4638.49942,100.00,92.77,7.126183578,Delayed,8
PR00090,P001,A002,2026-09-20,5000,4837.857826,100.00,96.76,199.358406,In Progress,8
PR00091,P001,A002,2026-09-27,5000,4746.144468,100.00,94.92,0,Delayed,8
PR00092,P001,A002,2026-10-04,5000,4662.452435,100.00,93.25,0,Delayed,8
PR00093,P001,A002,2026-10-11,5000,4856.078006,100.00,97.12,193.6255706,In Progress,8
PR00094,P001,A002,2026-10-18,5000,4391.966465,100.00,87.84,0,Delayed,8
PR00095,P001,A002,2026-10-25,5000,4488.043482,100.00,89.76,96.07701628,Delayed,8
PR00096,P001,A002,2026-11-01,5000,4437.84921,100.00,88.76,0,Delayed,8
PR00097,P001,A002,2026-11-08,5000,4531.783284,100.00,90.64,93.93407419,Delayed,8
PR00098,P001,A002,2026-11-15,5000,4359.079924,100.00,87.18,0,Delayed,8
PR00099,P001,A002,2026-11-22,5000,4711.151416,100.00,94.22,352.0714915,Delayed,8
PR00100,P001,A002,2026-11-29,5000,4561.111028,100.00,91.22,0,Delayed,8
PR00101,P001,A002,2026-12-06,5000,4342.608898,100.00,86.85,0,Delayed,8
PR00102,P001,A002,2026-12-13,5000,4422.273661,100.00,88.45,79.66476233,Delayed,8
PR00103,P001,A002,2026-12-20,5000,4654.864923,100.00,93.10,232.5912625,Delayed,8
PR00104,P001,A002,2026-12-27,5000,4746.672149,100.00,94.93,91.80722608,Delayed,8
PR00105,P001,A003,2026-01-11,0.3,0.305965674,30.00,30.60,0.305965674,In Progress,5
PR00106,P001,A003,2026-01-18,0.65,0.683790371,65.00,68.38,0.377824697,In Progress,5
PR00107,P001,A003,2026-01-25,1,0.96450433,100.00,96.45,0.280713959,In Progress,5
PR00108,P001,A003,2026-02-01,1,0.915366166,100.00,91.54,0,Delayed,5
PR00109,P001,A003,2026-02-08,1,0.87537838,100.00,87.54,0,Delayed,5
PR00110,P001,A003,2026-02-15,1,0.959369901,100.00,95.94,0.083991521,In Progress,5
PR00111,P001,A003,2026-02-22,1,0.921547062,100.00,92.15,0,Delayed,5
PR00112,P001,A003,2026-03-01,1,0.935462496,100.00,93.55,0.013915434,Delayed,5
PR00113,P001,A003,2026-03-08,1,0.928576612,100.00,92.86,0,Delayed,5
PR00114,P001,A003,2026-03-15,1,0.945072319,100.00,94.51,0.016495707,Delayed,5
PR00115,P001,A003,2026-03-22,1,0.987309308,100.00,98.73,0.042236989,In Progress,5
PR00116,P001,A003,2026-03-29,1,0.9554967,100.00,95.55,0,In Progress,5
PR00117,P001,A003,2026-04-05,1,0.944447781,100.00,94.44,0,Delayed,5
PR00118,P001,A003,2026-04-12,1,0.913752119,100.00,91.38,0,Delayed,5
PR00119,P001,A003,2026-04-19,1,0.891386097,100.00,89.14,0,Delayed,5
PR00120,P001,A003,2026-04-26,1,0.932979223,100.00,93.30,0.041593126,Delayed,5
PR00121,P001,A003,2026-05-03,1,0.948117611,100.00,94.81,0.015138388,Delayed,5
PR00122,P001,A003,2026-05-10,1,1,100.00,100.00,0.051882389,Completed,5
PR00123,P001,A003,2026-05-17,1,0.954559608,100.00,95.46,0,In Progress,5
PR00124,P001,A003,2026-05-24,1,0.984395883,100.00,98.44,0.029836275,In Progress,5
PR00125,P001,A003,2026-05-31,1,0.932524654,100.00,93.25,0,Delayed,5
PR00126,P001,A003,2026-06-07,1,0.908526968,100.00,90.85,0,Delayed,5
PR00127,P001,A003,2026-06-14,1,0.916220913,100.00,91.62,0.007693945,Delayed,5
PR00128,P001,A003,2026-06-21,1,0.924617088,100.00,92.46,0.008396174,Delayed,5
PR00129,P001,A003,2026-06-28,1,1,100.00,100.00,0.075382912,Completed,5
PR00130,P001,A003,2026-07-05,1,0.921251466,100.00,92.13,0,Delayed,5
PR00131,P001,A003,2026-07-12,1,0.979347122,100.00,97.93,0.058095656,In Progress,5
PR00132,P001,A003,2026-07-19,1,0.918397549,100.00,91.84,0,Delayed,5
PR00133,P001,A003,2026-07-26,1,0.982605055,100.00,98.26,0.064207507,In Progress,5
PR00134,P001,A003,2026-08-02,1,0.963473284,100.00,96.35,0,In Progress,5
PR00135,P001,A003,2026-08-09,1,0.944517674,100.00,94.45,0,Delayed,5
PR00136,P001,A003,2026-08-16,1,0.948573312,100.00,94.86,0.004055638,Delayed,5
PR00137,P001,A003,2026-08-23,1,0.927082431,100.00,92.71,0,Delayed,5
PR00138,P001,A003,2026-08-30,1,0.965612527,100.00,96.56,0.038530096,In Progress,5
PR00139,P001,A003,2026-09-06,1,0.934075578,100.00,93.41,0,Delayed,5
PR00140,P001,A003,2026-09-13,1,0.907103798,100.00,90.71,0,Delayed,5
PR00141,P001,A003,2026-09-20,1,0.905272185,100.00,90.53,0,Delayed,5
PR00142,P001,A003,2026-09-27,1,0.956040577,100.00,95.60,0.050768392,In Progress,5
PR00143,P001,A003,2026-10-04,1,1,100.00,100.00,0.043959423,Completed,5
PR00144,P001,A003,2026-10-11,1,0.955599706,100.00,95.56,0,In Progress,5
PR00145,P001,A003,2026-10-18,1,0.945847659,100.00,94.58,0,Delayed,5
PR00146,P001,A003,2026-10-25,1,0.960003915,100.00,96.00,0.014156256,In Progress,5
PR00147,P001,A003,2026-11-01,1,0.995710061,100.00,99.57,0.035706146,In Progress,5
PR00148,P001,A003,2026-11-08,1,0.957678388,100.00,95.77,0,In Progress,5
PR00149,P001,A003,2026-11-15,1,0.935617547,100.00,93.56,0,Delayed,5
PR00150,P001,A003,2026-11-22,1,0.988720105,100.00,98.87,0.053102558,In Progress,5
PR00151,P001,A003,2026-11-29,1,0.965006475,100.00,96.50,0,In Progress,5
PR00152,P001,A003,2026-12-06,1,1,100.00,100.00,0.034993525,Completed,5
PR00153,P001,A003,2026-12-13,1,0.956413205,100.00,95.64,0,In Progress,5
PR00154,P001,A003,2026-12-20,1,0.907143584,100.00,90.71,0,Delayed,5
PR00155,P001,A003,2026-12-27,1,0.902114428,100.00,90.21,0,Delayed,5
PR00156,P001,A004,2026-01-11,0.428571429,0.453335348,42.86,45.33,0.453335348,In Progress,0
PR00157,P001,A004,2026-01-18,1,1,100.00,100.00,0.546664652,Completed,0
PR00158,P001,A004,2026-01-25,1,0.993716828,100.00,99.37,0,In Progress,0
PR00159,P001,A004,2026-02-01,1,0.986588444,100.00,98.66,0,In Progress,0
PR00160,P001,A004,2026-02-08,1,1,100.00,100.00,0.013411556,Completed,0
PR00161,P001,A004,2026-02-15,1,0.961253401,100.00,96.13,0,In Progress,0
PR00162,P001,A004,2026-02-22,1,0.968684554,100.00,96.87,0.007431153,In Progress,0
PR00163,P001,A004,2026-03-01,1,1,100.00,100.00,0.031315446,Completed,0
PR00164,P001,A004,2026-03-08,1,0.986188821,100.00,98.62,0,In Progress,0
PR00165,P001,A004,2026-03-15,1,0.999820735,100.00,99.98,0.013631914,Completed,0
PR00166,P001,A004,2026-03-22,1,0.994279499,100.00,99.43,0,In Progress,0
PR00167,P001,A004,2026-03-29,1,1,100.00,100.00,0.005720501,Completed,0
PR00168,P001,A004,2026-04-05,1,1,100.00,100.00,0,Completed,0
PR00169,P001,A004,2026-04-12,1,1,100.00,100.00,0,Completed,0
PR00170,P001,A004,2026-04-19,1,1,100.00,100.00,0,Completed,0
PR00171,P001,A004,2026-04-26,1,0.928243976,100.00,92.82,0,Delayed,0
PR00172,P001,A004,2026-05-03,1,0.998294856,100.00,99.83,0.070050879,In Progress,0
PR00173,P001,A004,2026-05-10,1,0.970486941,100.00,97.05,0,In Progress,0
PR00174,P001,A004,2026-05-17,1,0.957341543,100.00,95.73,0,In Progress,0
PR00175,P001,A004,2026-05-24,1,0.969264667,100.00,96.93,0.011923124,In Progress,0
PR00176,P001,A004,2026-05-31,1,0.98830568,100.00,98.83,0.019041012,In Progress,0
PR00177,P001,A004,2026-06-07,1,1,100.00,100.00,0.01169432,Completed,0
PR00178,P001,A004,2026-06-14,1,0.953576255,100.00,95.36,0,In Progress,0
PR00179,P001,A004,2026-06-21,1,1,100.00,100.00,0.046423745,Completed,0
PR00180,P001,A004,2026-06-28,1,0.98305407,100.00,98.31,0,In Progress,0
PR00181,P001,A004,2026-07-05,1,0.988531442,100.00,98.85,0.005477372,In Progress,0
PR00182,P001,A004,2026-07-12,1,1,100.00,100.00,0.011468558,Completed,0
PR00183,P001,A004,2026-07-19,1,1,100.00,100.00,0,Completed,0
PR00184,P001,A004,2026-07-26,1,1,100.00,100.00,0,Completed,0
PR00185,P001,A004,2026-08-02,1,0.994592301,100.00,99.46,0,In Progress,0
PR00186,P001,A004,2026-08-09,1,0.975642009,100.00,97.56,0,In Progress,0
PR00187,P001,A004,2026-08-16,1,0.992164941,100.00,99.22,0.016522933,In Progress,0
PR00188,P001,A004,2026-08-23,1,1,100.00,100.00,0.007835059,Completed,0
PR00189,P001,A004,2026-08-30,1,1,100.00,100.00,0,Completed,0
PR00190,P001,A004,2026-09-06,1,0.962046417,100.00,96.20,0,In Progress,0
PR00191,P001,A004,2026-09-13,1,1,100.00,100.00,0.037953583,Completed,0
PR00192,P001,A004,2026-09-20,1,1,100.00,100.00,0,Completed,0
PR00193,P001,A004,2026-09-27,1,1,100.00,100.00,0,Completed,0
PR00194,P001,A004,2026-10-04,1,1,100.00,100.00,0,Completed,0
PR00195,P001,A004,2026-10-11,1,0.970136483,100.00,97.01,0,In Progress,0
PR00196,P001,A004,2026-10-18,1,0.989941582,100.00,98.99,0.0198051,In Progress,0
PR00197,P001,A004,2026-10-25,1,0.94877953,100.00,94.88,0,Delayed,0
PR00198,P001,A004,2026-11-01,1,0.979325255,100.00,97.93,0.030545725,In Progress,0
PR00199,P001,A004,2026-11-08,1,1,100.00,100.00,0.020674745,Completed,0
PR00200,P001,A004,2026-11-15,1,1,100.00,100.00,0,Completed,0
PR00201,P001,A004,2026-11-22,1,0.974482066,100.00,97.45,0,In Progress,0
PR00202,P001,A004,2026-11-29,1,0.977104875,100.00,97.71,0.002622809,In Progress,0
PR00203,P001,A004,2026-12-06,1,0.924844884,100.00,92.48,0,Delayed,0
PR00204,P001,A004,2026-12-13,1,0.994306693,100.00,99.43,0.069461809,In Progress,0
PR00205,P001,A004,2026-12-20,1,0.962815496,100.00,96.28,0,In Progress,0
PR00206,P001,A004,2026-12-27,1,0.98146962,100.00,98.15,0.018654124,In Progress,0
PR00207,P001,A005,2026-01-18,700,678.5169109,20.00,19.39,678.5169109,In Progress,0
PR00208,P001,A005,2026-01-25,1516.666667,1511.662896,43.33,43.19,833.1459851,In Progress,0
PR00209,P001,A005,2026-02-01,2333.333333,2189.785515,66.67,62.57,678.1226186,In Progress,0
PR00210,P001,A005,2026-02-08,3150,2988.258262,90.00,85.38,798.472747,In Progress,0
PR00211,P001,A005,2026-02-15,3500,3500,100.00,100.00,511.7417383,Completed,0
PR00212,P001,A005,2026-02-22,3500,3342.290734,100.00,95.49,0,In Progress,0
PR00213,P001,A005,2026-03-01,3500,3190.643767,100.00,91.16,0,Delayed,0
PR00214,P001,A005,2026-03-08,3500,3325,100.00,95.00,134.3562334,In Progress,0
PR00215,P001,A005,2026-03-15,3500,3325,100.00,95.00,0,In Progress,0
PR00216,P001,A005,2026-03-22,3500,3181.483088,100.00,90.90,0,Delayed,0
PR00217,P001,A005,2026-03-29,3500,3279.889503,100.00,93.71,98.40641482,Delayed,0
PR00218,P001,A005,2026-04-05,3500,3325,100.00,95.00,45.11049721,In Progress,0
PR00219,P001,A005,2026-04-12,3500,3325,100.00,95.00,0,In Progress,0
PR00220,P001,A005,2026-04-19,3500,3204.110008,100.00,91.55,0,Delayed,0
PR00221,P001,A005,2026-04-26,3500,3294.953464,100.00,94.14,90.84345598,Delayed,0
PR00222,P001,A005,2026-05-03,3500,3500,100.00,100.00,205.0465361,Completed,0
PR00223,P001,A005,2026-05-10,3500,3500,100.00,100.00,0,Completed,0
PR00224,P001,A005,2026-05-17,3500,3453.920881,100.00,98.68,0,In Progress,0
PR00225,P001,A005,2026-05-24,3500,3483.606687,100.00,99.53,29.68580557,In Progress,0
PR00226,P001,A005,2026-05-31,3500,3331.575263,100.00,95.19,0,In Progress,0
PR00227,P001,A005,2026-06-07,3500,3470.823716,100.00,99.17,139.2484529,In Progress,0
PR00228,P001,A005,2026-06-14,3500,3467.367532,100.00,99.07,0,In Progress,0
PR00229,P001,A005,2026-06-21,3500,3500,100.00,100.00,32.63246753,Completed,0
PR00230,P001,A005,2026-06-28,3500,3431.972416,100.00,98.06,0,In Progress,0
PR00231,P001,A005,2026-07-05,3500,3500,100.00,100.00,68.02758431,Completed,0
PR00232,P001,A005,2026-07-12,3500,3500,100.00,100.00,0,Completed,0
PR00233,P001,A005,2026-07-19,3500,3500,100.00,100.00,0,Completed,0
PR00234,P001,A005,2026-07-26,3500,3500,100.00,100.00,0,Completed,0
PR00235,P001,A005,2026-08-02,3500,3325,100.00,95.00,0,In Progress,0
PR00236,P001,A005,2026-08-09,3500,3325,100.00,95.00,0,In Progress,0
PR00237,P001,A005,2026-08-16,3500,3236.609141,100.00,92.47,0,Delayed,0
PR00238,P001,A005,2026-08-23,3500,3325,100.00,95.00,88.39085911,In Progress,0
PR00239,P001,A005,2026-08-30,3500,3313.082392,100.00,94.66,0,Delayed,0
PR00240,P001,A005,2026-09-06,3500,3325,100.00,95.00,11.91760831,In Progress,0
PR00241,P001,A005,2026-09-13,3500,3325,100.00,95.00,0,In Progress,0
PR00242,P001,A005,2026-09-20,3500,3325,100.00,95.00,0,In Progress,0
PR00243,P001,A005,2026-09-27,3500,3231.525492,100.00,92.33,0,Delayed,0
PR00244,P001,A005,2026-10-04,3500,3363.729595,100.00,96.11,132.2041029,In Progress,0
PR00245,P001,A005,2026-10-11,3500,3500,100.00,100.00,136.2704053,Completed,0
PR00246,P001,A005,2026-10-18,3500,3500,100.00,100.00,0,Completed,0
PR00247,P001,A005,2026-10-25,3500,3500,100.00,100.00,0,Completed,0
PR00248,P001,A005,2026-11-01,3500,3286.288217,100.00,93.89,0,Delayed,0
PR00249,P001,A005,2026-11-08,3500,3500,100.00,100.00,213.7117834,Completed,0
PR00250,P001,A005,2026-11-15,3500,3500,100.00,100.00,0,Completed,0
PR00251,P001,A005,2026-11-22,3500,3363.972241,100.00,96.11,0,In Progress,0
PR00252,P001,A005,2026-11-29,3500,3442.238211,100.00,98.35,78.26596993,In Progress,0
PR00253,P001,A005,2026-12-06,3500,3500,100.00,100.00,57.76178891,Completed,0
PR00254,P001,A005,2026-12-13,3500,3500,100.00,100.00,0,Completed,0
PR00255,P001,A005,2026-12-20,3500,3464.20903,100.00,98.98,0,In Progress,0
PR00256,P001,A005,2026-12-27,3500,3487.322687,100.00,99.64,23.11365742,In Progress,0
PR00257,P001,A006,2026-02-01,0,0,0.00,0.00,0,Not Started,8
PR00258,P001,A006,2026-02-08,630,582.9640034,35.00,32.39,582.9640034,In Progress,8
PR00259,P001,A006,2026-02-15,1260,1224.092796,70.00,68.01,641.1287926,In Progress,8
PR00260,P001,A006,2026-02-22,1800,1494.300518,100.00,83.02,270.2077222,Delayed,8
PR00261,P001,A006,2026-03-01,1800,1641.078433,100.00,91.17,146.7779151,Delayed,8
PR00262,P001,A006,2026-03-08,1800,1667.120283,100.00,92.62,26.04184921,Delayed,8
PR00263,P001,A006,2026-03-15,1800,1674.647621,100.00,93.04,7.527338804,Delayed,8
PR00264,P001,A006,2026-03-22,1800,1632.569381,100.00,90.70,0,Delayed,8
PR00265,P001,A006,2026-03-29,1800,1545.326528,100.00,85.85,0,Delayed,8
PR00266,P001,A006,2026-04-05,1800,1676.663715,100.00,93.15,131.3371878,Delayed,8
PR00267,P001,A006,2026-04-12,1800,1764.823063,100.00,98.05,88.15934802,In Progress,8
PR00268,P001,A006,2026-04-19,1800,1559.366731,100.00,86.63,0,Delayed,8
PR00269,P001,A006,2026-04-26,1800,1710.421165,100.00,95.02,151.0544334,In Progress,8
PR00270,P001,A006,2026-05-03,1800,1635.302911,100.00,90.85,0,Delayed,8
PR00271,P001,A006,2026-05-10,1800,1652.136566,100.00,91.79,16.83365527,Delayed,8
PR00272,P001,A006,2026-05-17,1800,1589.667394,100.00,88.31,0,Delayed,8
PR00273,P001,A006,2026-05-24,1800,1634.929261,100.00,90.83,45.26186732,Delayed,8
PR00274,P001,A006,2026-05-31,1800,1737.902809,100.00,96.55,102.9735483,In Progress,8
PR00275,P001,A006,2026-06-07,1800,1692.70728,100.00,94.04,0,Delayed,8
PR00276,P001,A006,2026-06-14,1800,1765.135631,100.00,98.06,72.4283509,In Progress,8
PR00277,P001,A006,2026-06-21,1800,1730.176949,100.00,96.12,0,In Progress,8
PR00278,P001,A006,2026-06-28,1800,1683.662461,100.00,93.54,0,Delayed,8
PR00279,P001,A006,2026-07-05,1800,1765.867875,100.00,98.10,82.20541438,In Progress,8
PR00280,P001,A006,2026-07-12,1800,1683.656569,100.00,93.54,0,Delayed,8
PR00281,P001,A006,2026-07-19,1800,1708.163255,100.00,94.90,24.50668614,Delayed,8
PR00282,P001,A006,2026-07-26,1800,1637.31603,100.00,90.96,0,Delayed,8
PR00283,P001,A006,2026-08-02,1800,1660.192386,100.00,92.23,22.87635647,Delayed,8
PR00284,P001,A006,2026-08-09,1800,1612.062299,100.00,89.56,0,Delayed,8
PR00285,P001,A006,2026-08-16,1800,1718.343788,100.00,95.46,106.2814887,In Progress,8
PR00286,P001,A006,2026-08-23,1800,1581.766872,100.00,87.88,0,Delayed,8
PR00287,P001,A006,2026-08-30,1800,1705.288072,100.00,94.74,123.5211998,Delayed,8
PR00288,P001,A006,2026-09-06,1800,1643.988983,100.00,91.33,0,Delayed,8
PR00289,P001,A006,2026-09-13,1800,1729.788567,100.00,96.10,85.79958351,In Progress,8
PR00290,P001,A006,2026-09-20,1800,1703.304746,100.00,94.63,0,Delayed,8
PR00291,P001,A006,2026-09-27,1800,1770.700708,100.00,98.37,67.39596164,In Progress,8
PR00292,P001,A006,2026-10-04,1800,1702.038806,100.00,94.56,0,Delayed,8
PR00293,P001,A006,2026-10-11,1800,1556.961464,100.00,86.50,0,Delayed,8
PR00294,P001,A006,2026-10-18,1800,1651.78195,100.00,91.77,94.82048621,Delayed,8
PR00295,P001,A006,2026-10-25,1800,1582.163547,100.00,87.90,0,Delayed,8
PR00296,P001,A006,2026-11-01,1800,1623.34837,100.00,90.19,41.18482306,Delayed,8
PR00297,P001,A006,2026-11-08,1800,1751.207391,100.00,97.29,127.8590214,In Progress,8
PR00298,P001,A006,2026-11-15,1800,1696.16463,100.00,94.23,0,Delayed,8
PR00299,P001,A006,2026-11-22,1800,1611.967383,100.00,89.55,0,Delayed,8
PR00300,P001,A006,2026-11-29,1800,1592.135806,100.00,88.45,0,Delayed,8
PR00301,P001,A006,2026-12-06,1800,1658.065272,100.00,92.11,65.92946594,Delayed,8
PR00302,P001,A006,2026-12-13,1800,1579.356711,100.00,87.74,0,Delayed,8
PR00303,P001,A006,2026-12-20,1800,1613.718163,100.00,89.65,34.36145194,Delayed,8
PR00304,P001,A006,2026-12-27,1800,1675.656597,100.00,93.09,61.93843418,Delayed,8
PR00305,P001,A007,2026-02-08,240,249.7046211,13.33,13.87,249.7046211,In Progress,0
PR00306,P001,A007,2026-02-15,1080,1103.011184,60.00,61.28,853.3065625,In Progress,0
PR00307,P001,A007,2026-02-22,1800,1655.648761,100.00,91.98,552.6375773,Delayed,0
PR00308,P001,A007,2026-03-01,1800,1800,100.00,100.00,144.351239,Completed,0
PR00309,P001,A007,2026-03-08,1800,1800,100.00,100.00,0,Completed,0
PR00310,P001,A007,2026-03-15,1800,1800,100.00,100.00,0,Completed,0
PR00311,P001,A007,2026-03-22,1800,1800,100.00,100.00,0,Completed,0
PR00312,P001,A007,2026-03-29,1800,1670.015989,100.00,92.78,0,Delayed,0
