Labour_ID,Project_ID,Activity_ID,Date,Contractor_ID,Labour_Type,Number_of_Workers,Working_Hours,Man_Hours,Overtime_Hours,Productivity_Quantity,Productivity_Unit,Productivity_Rate
LB00035,P001,A009,2026-02-25,C002,Unskilled,21,8,168,1,21.87994296,m³,0.130237756
LB00036,P001,A009,2026-03-04,C002,Semi-skilled,21,8,168,0,21.46455133,m³,0.127765186
LB00037,P001,A010,2026-02-21,C002,Semi-skilled,16,8,128,1,3.807477503,tonne,0.029745918
LB00038,P001,A010,2026-03-04,C002,Semi-skilled,18,9,162,0,3.682707062,tonne,0.02273276
LB00039,P001,A010,2026-03-05,C002,Skilled,15,9,135,2,3.037569902,tonne,0.022500518
LB00040,P001,A010,2026-03-16,C002,Semi-skilled,19,8,152,0,3.690882751,tonne,0.024282123
LB00041,P001,A011,2026-03-03,C002,Skilled,13,8,104,0,23.57065425,m³,0.226640906
LB00042,P001,A011,2026-03-03,C002,Unskilled,15,8,120,1,23.05735489,m³,0.192144624
LB00043,P001,A011,2026-03-12,C002,Unskilled,17,9,153,2,19.28554693,m³,0.126049326
LB00044,P001,A011,2026-03-24,C002,Skilled,18,8,144,0,23.48774338,m³,0.163109329
LB00045,P001,A012,2026-03-17,C002,Skilled,17,8,136,0,11.36856136,m³,0.083592363
LB00046,P001,A012,2026-03-25,C002,Semi-skilled,12,8,96,1,7.790058446,m³,0.081146442
LB00047,P001,A012,2026-03-27,C002,Skilled,16,8,128,2,10.67744362,m³,0.083417528
LB00048,P001,A012,2026-03-28,C002,Skilled,22,8,176,0,10.35993582,m³,0.058863272
LB00049,P001,A013,2026-03-29,C002,Semi-skilled,16,8,128,1,10.70038751,m³,0.083596777
LB00050,P001,A013,2026-04-01,C002,Semi-skilled,13,8,104,2,7.757132381,m³,0.074587811
LB00051,P001,A013,2026-04-11,C002,Skilled,15,9,135,1,11.16055634,m³,0.082670788
LB00052,P001,A013,2026-04-12,C002,Semi-skilled,12,8,96,1,7.364238021,m³,0.076710813
LB00053,P001,A014,2026-04-12,C001,Semi-skilled,20,8,160,0,97.51745695,m,0.609484106
LB00054,P001,A014,2026-04-12,C001,Semi-skilled,23,9,207,0,79.54798279,m,0.384289772
LB00055,P001,A014,2026-04-15,C001,Semi-skilled,22,8,176,0,100.6235241,m,0.571724569
LB00056,P001,A014,2026-04-18,C001,Unskilled,18,8,144,2,98.43537745,m,0.68357901
LB00057,P001,A015,2026-04-01,C002,Skilled,21,8,168,0,4.006291323,m³,0.023846972
LB00058,P001,A015,2026-04-07,C002,Unskilled,16,9,144,1,5.019322048,m³,0.034856403
LB00059,P001,A015,2026-04-11,C002,Semi-skilled,16,8,128,0,5.817946038,m³,0.045452703
LB00060,P001,A015,2026-04-12,C002,Unskilled,11,8,88,0,3.856815369,m³,0.043827447
LB00061,P001,A016,2026-04-21,C002,Unskilled,18,8,144,0,5.908603363,m³,0.041031968
LB00062,P001,A016,2026-04-24,C002,Semi-skilled,18,8,144,1,4.495817228,m³,0.031220953
LB00063,P001,A016,2026-04-25,C002,Skilled,19,8,152,2,4.429035015,m³,0.029138388
LB00064,P001,A016,2026-04-27,C002,Unskilled,17,8,136,1,4.765422566,m³,0.035039872
LB00065,P001,A017,2026-05-11,C002,Skilled,16,9,144,0,4.62926796,m³,0.032147694
LB00066,P001,A017,2026-05-11,C002,Skilled,19,9,171,0,4.700749371,m³,0.027489762
LB00067,P001,A017,2026-05-17,C002,Semi-skilled,15,8,120,0,5.300018268,m³,0.044166819
LB00068,P001,A017,2026-05-20,C002,Semi-skilled,14,8,112,2,3.97121233,m³,0.035457253
LB00069,P001,A018,2026-05-28,C002,Unskilled,18,8,144,0,5.498040874,m³,0.038180839
LB00070,P001,A018,2026-06-01,C002,Skilled,18,8,144,0,5.991035449,m³,0.041604413
LB00071,P001,A018,2026-06-09,C002,Unskilled,15,8,120,1,5.403931,m³,0.045032758
LB00072,P001,A018,2026-06-09,C002,Unskilled,20,8,160,0,3.751855388,m³,0.023449096
LB00073,P001,A019,2026-06-18,C002,Skilled,21,8,168,0,3.908025084,m³,0.023262054
LB00074,P001,A019,2026-06-21,C002,Unskilled,16,8,128,0,5.960019069,m³,0.046562649
LB00075,P001,A019,2026-06-22,C002,Skilled,15,8,120,1,5.101811001,m³,0.042515092
LB00076,P001,A019,2026-06-26,C002,Skilled,16,8,128,0,3.922436988,m³,0.030644039
LB00077,P001,A020,2026-07-10,C002,Unskilled,16,8,128,2,5.275525997,m³,0.041215047
LB00078,P001,A020,2026-07-15,C002,Unskilled,16,8,128,0,3.759818148,m³,0.029373579
LB00079,P001,A020,2026-07-19,C002,Unskilled,18,9,162,0,5.462892719,m³,0.03372156
LB00080,P001,A020,2026-07-22,C002,Skilled,15,9,135,0,6.058996356,m³,0.044881454
LB00081,P001,A021,2026-07-26,C002,Skilled,20,8,160,0,4.995220582,m³,0.031220129
LB00082,P001,A021,2026-07-26,C002,Semi-skilled,14,9,126,0,5.623619685,m³,0.044631902
LB00083,P001,A021,2026-07-26,C002,Skilled,19,8,152,2,5.463392433,m³,0.035943371
LB00084,P001,A021,2026-08-08,C002,Unskilled,19,8,152,1,5.838536958,m³,0.038411427
LB00085,P001,A022,2026-08-12,C002,Skilled,16,9,144,0,5.108996677,m³,0.035479144
LB00086,P001,A022,2026-08-13,C002,Unskilled,21,9,189,0,4.589416567,m³,0.024282627
LB00087,P001,A022,2026-08-19,C002,Skilled,27,9,243,0,5.055582653,m³,0.020804867
LB00088,P001,A022,2026-08-27,C002,Unskilled,19,8,152,1,5.314992068,m³,0.034967053
LB00089,P001,A023,2026-09-02,C002,Skilled,15,8,120,1,4.837901192,m³,0.040315843
LB00090,P001,A023,2026-09-03,C002,Skilled,15,8,120,0,3.97484657,m³,0.033123721
LB00091,P001,A023,2026-09-14,C002,Skilled,15,8,120,2,4.390945553,m³,0.036591213
LB00092,P001,A023,2026-09-14,C002,Skilled,20,8,160,2,5.016673301,m³,0.031354208
LB00093,P001,A024,2026-09-24,C002,Semi-skilled,14,8,112,0,5.554290375,m³,0.049591878
LB00094,P001,A024,2026-10-01,C002,Semi-skilled,18,8,144,2,4.994279264,m³,0.034682495
LB00095,P001,A024,2026-10-03,C002,Semi-skilled,18,8,144,0,5.559002611,m³,0.038604185
LB00096,P001,A024,2026-10-05,C002,Skilled,13,8,104,0,3.846694033,m³,0.036987443
LB00097,P001,A025,2026-10-08,C002,Semi-skilled,15,9,135,0,4.796076001,m³,0.035526489
LB00098,P001,A025,2026-10-09,C002,Unskilled,15,8,120,2,4.06540442,m³,0.03387837
LB00099,P001,A025,2026-10-10,C002,Semi-skilled,21,8,168,1,5.347334351,m³,0.031829371
LB00100,P001,A025,2026-10-20,C002,Unskilled,16,8,128,0,4.950056822,m³,0.038672319
LB00101,P001,A026,2026-04-14,C002,Skilled,16,8,128,0,4.160118055,m³,0.032500922
LB00102,P001,A026,2026-04-14,C002,Semi-skilled,16,8,128,1,4.932242232,m³,0.038533142
LB00103,P001,A026,2026-04-18,C002,Semi-skilled,14,8,112,0,5.639584749,m³,0.050353435
LB00104,P001,A026,2026-05-01,C002,Semi-skilled,21,8,168,0,6.220376396,m³,0.03702605
LB00105,P001,A027,2026-05-10,C002,Skilled,12,8,96,2,4.691548508,m³,0.048870297
LB00106,P001,A027,2026-05-12,C002,Unskilled,17,8,136,1,4.049396914,m³,0.029774977
LB00107,P001,A027,2026-05-18,C002,Skilled,13,8,104,0,4.106571131,m³,0.039486261
LB00108,P001,A027,2026-05-22,C002,Unskilled,20,8,160,0,5.394309475,m³,0.033714434
LB00109,P001,A028,2026-05-25,C002,Skilled,14,8,112,0,4.672764595,m³,0.041721112
LB00110,P001,A028,2026-05-29,C002,Semi-skilled,18,9,162,1,6.559522707,m³,0.040490881
LB00111,P001,A028,2026-06-01,C002,Unskilled,13,9,117,0,6.685564557,m³,0.057141577
LB00112,P001,A028,2026-06-02,C002,Skilled,17,8,136,2,4.587118689,m³,0.033728814
LB00113,P001,A029,2026-06-14,C002,Semi-skilled,22,8,176,0,6.023887259,m³,0.034226632
LB00114,P001,A029,2026-06-15,C002,Semi-skilled,14,8,112,0,5.878938853,m³,0.052490525
LB00115,P001,A029,2026-06-18,C002,Skilled,19,8,152,0,5.524834421,m³,0.036347595
LB00116,P001,A029,2026-06-27,C002,Semi-skilled,15,9,135,1,5.473437203,m³,0.040543979
LB00117,P001,A030,2026-07-05,C002,Skilled,14,8,112,0,4.779300055,m³,0.042672322
LB00118,P001,A030,2026-07-07,C002,Semi-skilled,16,8,128,1,5.513198111,m³,0.04307186
LB00119,P001,A030,2026-07-15,C002,Skilled,21,8,168,0,5.346571705,m³,0.031824832
LB00120,P001,A030,2026-07-22,C002,Skilled,21,8,168,1,5.467008069,m³,0.032541715
LB00121,P001,A031,2026-07-28,C002,Skilled,19,9,171,2,4.863384446,m³,0.028440845
LB00122,P001,A031,2026-08-02,C002,Semi-skilled,17,8,136,0,6.100125264,m³,0.044853862
LB00123,P001,A031,2026-08-02,C002,Unskilled,24,8,192,0,5.984076515,m³,0.031167065
LB00124,P001,A031,2026-08-03,C002,Semi-skilled,19,8,152,0,5.556397058,m³,0.036555244
LB00125,P001,A032,2026-08-26,C002,Skilled,19,9,171,0,6.286524532,m³,0.036763301
LB00126,P001,A032,2026-09-03,C002,Skilled,20,8,160,1,6.127372982,m³,0.038296081
LB00127,P001,A032,2026-09-03,C002,Skilled,20,8,160,1,5.468313476,m³,0.034176959
LB00128,P001,A032,2026-09-04,C002,Unskilled,20,8,160,0,6.080753795,m³,0.038004711
LB00129,P001,A033,2026-09-06,C002,Skilled,17,9,153,0,4.69762524,m³,0.030703433
LB00130,P001,A033,2026-09-22,C002,Skilled,16,8,128,0,4.065977414,m³,0.031765449
LB00131,P001,A033,2026-09-22,C002,Skilled,19,8,152,1,5.796283607,m³,0.038133445
LB00132,P001,A033,2026-09-23,C002,Unskilled,20,8,160,2,4.746110688,m³,0.029663192
LB00133,P001,A034,2026-09-29,C002,Semi-skilled,18,8,144,0,6.012890467,m³,0.041756184
LB00134,P001,A034,2026-10-02,C002,Unskilled,19,8,152,0,5.254826672,m³,0.034571228
LB00135,P001,A034,2026-10-05,C002,Skilled,9,8,72,0,5.265085432,m³,0.073126187
LB00136,P001,A034,2026-10-10,C002,Skilled,14,8,112,0,5.346115605,m³,0.047733175
LB00137,P001,A035,2026-10-21,C002,Semi-skilled,19,8,152,2,4.732884783,m³,0.0311374
LB00138,P001,A035,2026-10-23,C002,Unskilled,18,8,144,0,5.878626236,m³,0.040823793
LB00139,P001,A035,2026-10-24,C002,Semi-skilled,13,8,104,0,4.020401934,m³,0.038657711
LB00140,P001,A035,2026-11-02,C002,Unskilled,19,8,152,2,6.069191322,m³,0.03992889
LB00141,P001,A036,2026-11-08,C002,Unskilled,23,8,184,0,4.618370849,m³,0.025099842
LB00142,P001,A036,2026-11-08,C002,Unskilled,17,8,136,1,4.649217748,m³,0.034185425
LB00143,P001,A036,2026-11-09,C002,Unskilled,14,9,126,0,5.618063377,m³,0.044587805
LB00144,P001,A036,2026-11-23,C002,Semi-skilled,19,8,152,0,4.958892436,m³,0.032624292
LB00145,P001,A037,2026-05-04,C002,Semi-skilled,19,8,152,0,8.247766568,m³,0.054261622
LB00146,P001,A037,2026-05-12,C002,Semi-skilled,13,8,104,1,8.40246797,m³,0.080792961
LB00147,P001,A037,2026-05-13,C002,Unskilled,16,9,144,0,8.469493612,m³,0.058815928
LB00148,P001,A037,2026-05-14,C002,Skilled,13,9,117,2,8.906260648,m³,0.076121886
LB00149,P001,A038,2026-05-20,C002,Unskilled,14,8,112,0,8.765749626,m³,0.078265622
LB00150,P001,A038,2026-05-26,C002,Semi-skilled,18,8,144,0,8.03785424,m³,0.055818432
LB00151,P001,A038,2026-05-30,C002,Semi-skilled,21,8,168,0,8.611824556,m³,0.05126086
LB00152,P001,A038,2026-06-04,C002,Skilled,19,8,152,2,8.254815471,m³,0.054307997
LB00153,P001,A039,2026-06-12,C002,Unskilled,16,9,144,1,7.193406261,m³,0.04995421
LB00154,P001,A039,2026-06-15,C002,Unskilled,16,8,128,0,8.814558787,m³,0.068863741
LB00155,P001,A039,2026-07-01,C002,Semi-skilled,23,9,207,0,8.211113444,m³,0.039667215
LB00156,P001,A039,2026-07-01,C002,Skilled,21,8,168,2,7.479790719,m³,0.044522564
LB00157,P001,A040,2026-07-03,C002,Skilled,13,8,104,1,8.561011131,m³,0.082317415
LB00158,P001,A040,2026-07-04,C002,Semi-skilled,22,9,198,0,7.707480998,m³,0.038926672
LB00159,P001,A040,2026-07-13,C002,Semi-skilled,17,8,136,2,6.578702592,m³,0.048372813
LB00160,P001,A040,2026-07-24,C002,Semi-skilled,14,8,112,0,9.264548613,m³,0.082719184
LB00161,P001,A041,2026-07-28,C002,Semi-skilled,22,8,176,0,6.239961692,m³,0.035454328
LB00162,P001,A041,2026-07-29,C002,Semi-skilled,19,8,152,2,6.782572761,m³,0.044622189
LB00163,P001,A041,2026-07-31,C002,Semi-skilled,21,8,168,2,5.897860604,m³,0.035106313
LB00164,P001,A041,2026-08-13,C002,Unskilled,21,8,168,0,7.165109171,m³,0.042649459
LB00165,P001,A042,2026-08-21,C002,Semi-skilled,14,8,112,0,7.141218607,m³,0.06376088
LB00166,P001,A042,2026-08-21,C002,Skilled,22,8,176,1,6.051771513,m³,0.034385065
LB00167,P001,A042,2026-09-03,C002,Unskilled,17,8,136,0,8.307706976,m³,0.061086081
LB00168,P001,A042,2026-09-08,C002,Unskilled,19,9,171,0,8.414096617,m³,0.049205243
LB00169,P001,A043,2026-09-16,C002,Skilled,19,8,152,2,6.09728336,m³,0.040113706
LB00170,P001,A043,2026-09-18,C002,Unskilled,16,8,128,2,8.865356092,m³,0.069260594
LB00171,P001,A043,2026-09-26,C002,Semi-skilled,19,8,152,0,6.247586914,m³,0.041102545
LB00172,P001,A043,2026-09-27,C002,Skilled,18,8,144,2,5.809374633,m³,0.040342879
LB00173,P001,A044,2026-10-06,C002,Skilled,15,8,120,1,6.934303363,m³,0.057785861
LB00174,P001,A044,2026-10-08,C002,Unskilled,13,9,117,1,9.236851289,m³,0.078947447
LB00175,P001,A044,2026-10-08,C002,Skilled,21,9,189,0,10.29209434,m³,0.054455526
LB00176,P001,A044,2026-10-14,C002,Skilled,20,8,160,0,8.700761244,m³,0.054379758
LB00177,P001,A045,2026-11-02,C002,Semi-skilled,17,9,153,1,7.262246378,m³,0.047465663
LB00178,P001,A045,2026-11-03,C002,Unskilled,22,8,176,0,7.240899127,m³,0.041141472
LB00179,P001,A045,2026-11-07,C002,Skilled,15,8,120,2,6.548790158,m³,0.054573251
LB00180,P001,A045,2026-11-09,C002,Semi-skilled,20,8,160,0,5.900502775,m³,0.036878142
LB00181,P001,A046,2026-11-20,C002,Unskilled,20,8,160,0,7.149275065,m³,0.044682969
LB00182,P001,A046,2026-11-21,C002,Unskilled,22,9,198,0,7.342145365,m³,0.037081542
LB00183,P001,A046,2026-12-02,C002,Skilled,19,9,171,0,6.844327213,m³,0.040025305
LB00184,P001,A046,2026-12-05,C002,Semi-skilled,19,8,152,2,5.994670097,m³,0.039438619
LB00185,P001,A047,2026-12-15,C002,Semi-skilled,18,8,144,0,7.25525036,m³,0.050383683
LB00186,P001,A047,2026-12-15,C002,Skilled,24,9,216,0,8.772461222,m³,0.040613246
LB00187,P001,A047,2026-12-30,C002,Semi-skilled,24,8,192,0,6.998071153,m³,0.036448287
LB00188,P001,A047,2026-12-30,C002,Unskilled,16,8,128,0,7.782770855,m³,0.060802897
LB00189,P001,A048,2026-04-17,C002,Skilled,25,9,225,0,2.342948358,m³,0.010413104
LB00190,P001,A048,2026-04-27,C002,Skilled,20,8,160,2,2.281977769,m³,0.014262361
LB00191,P001,A048,2026-04-28,C002,Semi-skilled,20,8,160,0,2.34690573,m³,0.014668161
LB00192,P001,A048,2026-05-24,C002,Skilled,19,8,152,0,1.705389595,m³,0.011219668
LB00193,P001,A049,2026-06-07,C003,Skilled,17,8,136,0,16.69709892,m³,0.122772786
LB00194,P001,A049,2026-06-18,C003,Unskilled,18,8,144,0,21.17921073,m³,0.147077852
LB00195,P001,A049,2026-06-30,C003,Unskilled,26,9,234,2,23.68164904,m³,0.101203628
LB00196,P001,A049,2026-07-11,C003,Unskilled,21,9,189,0,24.45733428,m³,0.129403885
LB00197,P001,A049,2026-07-23,C003,Semi-skilled,19,8,152,0,21.04080911,m³,0.138426376
LB00198,P001,A049,2026-08-01,C003,Unskilled,24,8,192,1,21.96719099,m³,0.114412453
LB00199,P001,A049,2026-08-09,C003,Unskilled,24,8,192,0,21.75318455,m³,0.113297836
LB00200,P001,A050,2026-06-27,C003,Skilled,24,8,192,1,13.29729303,m³,0.069256735
LB00201,P001,A050,2026-07-18,C003,Skilled,22,8,176,0,13.6250784,m³,0.077415218
LB00202,P001,A050,2026-07-28,C003,Skilled,19,8,152,1,10.35092369,m³,0.068098182
LB00203,P001,A050,2026-07-28,C003,Skilled,20,8,160,0,9.458235595,m³,0.059113972
LB00204,P001,A050,2026-08-03,C003,Semi-skilled,19,8,152,1,11.50885397,m³,0.075716145
LB00205,P001,A050,2026-08-21,C003,Skilled,14,8,112,0,14.01037867,m³,0.125092667
LB00206,P001,A050,2026-08-22,C003,Unskilled,21,8,168,0,9.477307271,m³,0.056412543
LB00207,P001,A051,2026-07-02,C003,Semi-skilled,17,8,136,0,2.794459526,m³,0.020547497
LB00208,P001,A051,2026-07-08,C003,Unskilled,20,8,160,2,2.816820531,m³,0.017605128
LB00209,P001,A051,2026-07-10,C003,Unskilled,16,8,128,0,2.845349946,m³,0.022229296
LB00210,P001,A051,2026-07-25,C003,Unskilled,22,8,176,2,2.101969704,m³,0.01194301
LB00211,P001,A052,2026-08-17,C004,Unskilled,12,8,96,2,193.8112975,m²,2.018867682
LB00212,P001,A052,2026-08-21,C004,Skilled,13,8,104,0,215.0752279,m²,2.068031037
LB00213,P001,A052,2026-08-27,C004,Semi-skilled,15,8,120,0,250.5337272,m²,2.08778106
LB00214,P001,A052,2026-09-01,C004,Semi-skilled,17,8,136,0,209.5369974,m²,1.540713216
LB00215,P001,A052,2026-09-06,C004,Skilled,13,8,104,0,199.2463405,m²,1.915830197
LB00216,P001,A052,2026-10-02,C004,Semi-skilled,17,8,136,1,247.995225,m²,1.823494301
LB00217,P001,A052,2026-10-09,C004,Semi-skilled,18,9,162,2,219.2130962,m²,1.353167261
LB00218,P001,A053,2026-08-19,C004,Skilled,16,8,128,2,195.4382218,m²,1.526861108
LB00219,P001,A053,2026-08-29,C004,Semi-skilled,14,9,126,0,206.0837639,m²,1.635585428
LB00220,P001,A053,2026-09-04,C004,Semi-skilled,20,8,160,0,160.9538719,m²,1.005961699
LB00221,P001,A053,2026-09-12,C004,Semi-skilled,13,8,104,0,177.9988792,m²,1.711527684
LB00222,P001,A053,2026-09-20,C004,Semi-skilled,14,8,112,0,162.5795382,m²,1.45160302
LB00223,P001,A053,2026-09-30,C004,Skilled,19,8,152,0,204.5099692,m²,1.345460324
LB00224,P001,A054,2026-08-29,C008,Semi-skilled,8,8,64,2,60.7677854,m²,0.949496647
LB00225,P001,A054,2026-09-01,C008,Unskilled,6,8,48,0,44.03933536,m²,0.917486153
LB00226,P001,A054,2026-09-12,C008,Skilled,12,8,96,2,47.05891172,m²,0.490196997
LB00227,P001,A054,2026-09-19,C008,Skilled,13,8,104,0,57.18504032,m²,0.549856157
LB00228,P001,A055,2026-12-03,C008,Skilled,5,8,40,0,87.84662469,m²,2.196165617
LB00229,P001,A055,2026-12-03,C008,Skilled,7,8,56,0,83.64272118,m²,1.493620021
LB00230,P001,A055,2026-12-10,C008,Semi-skilled,4,8,32,2,76.39855981,m²,2.387454994
LB00231,P001,A055,2026-12-11,C008,Skilled,14,8,112,1,99.96400066,m²,0.89253572
LB00232,P001,A056,2026-09-15,C004,Unskilled,20,8,160,2,151.1715997,m²,0.944822498
LB00233,P001,A056,2026-09-16,C004,Unskilled,15,8,120,2,159.8436986,m²,1.332030821
LB00234,P001,A056,2026-09-27,C004,Skilled,15,9,135,0,166.5251803,m²,1.233519854
LB00235,P001,A056,2026-09-28,C004,Unskilled,16,8,128,1,145.2757282,m²,1.134966626
LB00236,P001,A056,2026-10-02,C004,Skilled,16,8,128,0,118.0999508,m²,0.922655866
LB00237,P001,A056,2026-10-20,C004,Unskilled,15,8,120,0,139.5748599,m²,1.163123833
LB00238,P001,A056,2026-11-23,C004,Unskilled,14,8,112,0,161.8665808,m²,1.445237328
LB00239,P001,A056,2026-12-04,C004,Semi-skilled,20,8,160,2,136.0289704,m²,0.850181065
LB00240,P001,A057,2026-10-07,C004,Semi-skilled,15,8,120,1,67.40900282,m²,0.56174169
LB00241,P001,A057,2026-10-14,C004,Unskilled,12,8,96,0,83.23746707,m²,0.867056949
LB00242,P001,A057,2026-10-16,C004,Semi-skilled,13,8,104,0,80.20653797,m²,0.771216711
LB00243,P001,A057,2026-10-22,C004,Unskilled,15,8,120,0,72.41065877,m²,0.603422156
LB00244,P001,A057,2026-10-22,C004,Skilled,15,8,120,0,62.04266773,m²,0.517022231
LB00245,P001,A057,2026-11-02,C004,Semi-skilled,8,8,64,0,56.56772826,m²,0.883870754
LB00246,P001,A057,2026-11-24,C004,Skilled,13,9,117,0,82.26444702,m²,0.703114932
LB00247,P001,A058,2026-10-26,C004,Unskilled,12,9,108,0,3.277374361,no.,0.030346059
LB00248,P001,A058,2026-10-28,C004,Unskilled,18,8,144,0,3.16152768,no.,0.021955053
LB00249,P001,A058,2026-10-28,C004,Skilled,17,8,136,0,2.409689413,no.,0.017718305
LB00250,P001,A058,2026-11-04,C004,Skilled,12,9,108,0,2.558149697,no.,0.023686571
LB00251,P001,A058,2026-12-08,C004,Semi-skilled,14,8,112,0,3.19418625,no.,0.02851952
LB00252,P001,A058,2026-12-11,C004,Skilled,14,8,112,0,2.242171383,no.,0.020019387
LB00253,P001,A059,2026-10-04,C004,Semi-skilled,13,8,104,0,30.55005551,m²,0.293750534
LB00254,P001,A059,2026-10-21,C004,Skilled,12,8,96,0,34.2871006,m²,0.357157298
LB00255,P001,A059,2026-10-29,C004,Unskilled,21,9,189,1,37.78348154,m²,0.199912601
LB00256,P001,A059,2026-11-09,C004,Skilled,17,8,136,1,27.01274853,m²,0.198623151
LB00257,P001,A059,2026-11-09,C004,Skilled,23,8,184,1,29.68425624,m²,0.16132748
LB00258,P001,A059,2026-11-12,C004,Unskilled,11,8,88,0,30.6585615,m²,0.348392744
LB00259,P001,A059,2026-12-01,C004,Semi-skilled,12,8,96,0,29.23606889,m²,0.304542384
LB00260,P001,A060,2026-10-13,C005,Semi-skilled,15,9,135,1,350.4089281,m²,2.59562169
LB00261,P001,A060,2026-10-14,C005,Skilled,18,8,144,2,335.8036143,m²,2.331969544
LB00262,P001,A060,2026-10-16,C005,Skilled,13,8,104,1,361.27077,m²,3.473757404
LB00263,P001,A060,2026-10-20,C005,Semi-skilled,19,9,171,1,368.5481297,m²,2.15525222
LB00264,P001,A060,2026-10-22,C005,Semi-skilled,17,8,136,1,284.3053225,m²,2.090480312
LB00265,P001,A060,2026-10-23,C005,Skilled,15,8,120,1,289.6020113,m²,2.413350094
LB00266,P001,A060,2026-11-18,C005,Semi-skilled,19,8,152,2,349.9062046,m²,2.302014504
LB00267,P001,A060,2026-12-19,C005,Skilled,15,8,120,1,364.4039371,m²,3.036699476
LB00268,P001,A061,2026-10-30,C005,Unskilled,18,8,144,0,253.5769103,m²,1.760950766
LB00269,P001,A061,2026-10-31,C005,Semi-skilled,14,8,112,0,241.8096176,m²,2.159014443
LB00270,P001,A061,2026-11-06,C005,Unskilled,17,9,153,0,224.8135406,m²,1.469369546
LB00271,P001,A061,2026-11-15,C005,Unskilled,13,9,117,0,199.3460119,m²,1.703812068
LB00272,P001,A061,2026-11-18,C005,Unskilled,11,8,88,1,188.8043938,m²,2.145504475
LB00273,P001,A061,2026-11-26,C005,Skilled,13,8,104,0,199.615452,m²,1.919379347
LB00274,P001,A062,2026-08-17,C006,Semi-skilled,10,8,80,2,53.32005626,m,0.666500703
