Material_ID,Project_ID,Activity_ID,Date,Material_Name,Material_Category,Unit,Planned_Quantity,Actual_Quantity,Unit_Cost_INR,Total_Cost_INR,Supplier,Wastage_Quantity,Wastage_Percentage
MT00028,P001,A010,2026-03-10,Coarse Aggregate,Aggregate,m³,23.82293213,25.09205933,1847.77,46364.41,Simulated Supplier,1.269127201,5.33
MT00029,P001,A010,2026-03-14,Sand,Aggregate,m³,13.01078192,13.92462833,1480.38,20613.76,Simulated Supplier,0.913846408,7.02
MT00030,P001,A010,2026-03-16,Coarse Aggregate,Aggregate,m³,16.84783958,17.38013554,1848.19,32121.72,Simulated Supplier,0.532295962,3.16
MT00031,P001,A011,2026-03-04,Reinforcement Steel,Steel,kg,20011.50544,21267.02643,64831.69,1378777279.9,Simulated Supplier,1255.520992,6.27
MT00032,P001,A011,2026-03-06,Sand,Aggregate,m³,71.93816132,76.42763015,1468.89,112263.78,Simulated Supplier,4.489468833,6.24
MT00033,P001,A011,2026-03-07,Cement,Concrete Materials,bags,10.34607911,11.11240703,425.45,4727.79,Simulated Supplier,0.766327918,7.41
MT00034,P001,A012,2026-03-18,Coarse Aggregate,Aggregate,m³,41.45081453,42.86309064,1887.91,80921.62,Simulated Supplier,1.412276107,3.41
MT00035,P001,A012,2026-03-25,Sand,Aggregate,m³,24.40352302,26.49582407,1495.07,39613.14,Simulated Supplier,2.092301056,8.57
MT00036,P001,A012,2026-03-26,Sand,Aggregate,m³,32.55479907,35.58096658,1455.62,51792.27,Simulated Supplier,3.026167507,9.3
MT00037,P001,A013,2026-04-02,Sand,Aggregate,m³,17.08931824,17.79612552,1478.26,26307.32,Simulated Supplier,0.706807284,4.14
MT00038,P001,A013,2026-04-09,Coarse Aggregate,Aggregate,m³,36.87567534,39.15046593,1925.1,75368.48,Simulated Supplier,2.274790588,6.17
MT00039,P001,A013,2026-04-10,Reinforcement Steel,Steel,kg,3336.539822,3374.710005,67882.12,229082467.87,Simulated Supplier,38.17018296,1.14
MT00040,P001,A014,2026-04-10,Sand,Aggregate,m³,129.5750023,137.0892383,1576.17,216076.01,Simulated Supplier,7.514235932,5.8
MT00041,P001,A014,2026-04-13,Sand,Aggregate,m³,93.19834456,97.01743474,1425.44,138292.13,Simulated Supplier,3.819090185,4.1
MT00042,P001,A014,2026-04-16,Sand,Aggregate,m³,112.0102339,117.9044142,1544.65,182121.15,Simulated Supplier,5.894180263,5.26
MT00043,P001,A015,2026-04-05,Reinforcement Steel,Steel,kg,2350.323011,2381.046986,65820.85,156722526.72,Simulated Supplier,30.72397528,1.31
MT00044,P001,A015,2026-04-05,Sand,Aggregate,m³,12.61453606,13.14545977,1485.08,19522.12,Simulated Supplier,0.530923716,4.21
MT00045,P001,A015,2026-04-10,Coarse Aggregate,Aggregate,m³,14.4170514,15.08081624,1844.75,27820.26,Simulated Supplier,0.663764838,4.6
MT00046,P001,A016,2026-04-20,Coarse Aggregate,Aggregate,m³,22.43780308,23.35207903,1780.62,41581.13,Simulated Supplier,0.914275949,4.07
MT00047,P001,A016,2026-04-30,Coarse Aggregate,Aggregate,m³,27.45356757,28.60739024,1915.43,54795.51,Simulated Supplier,1.153822668,4.2
MT00048,P001,A016,2026-05-06,Sand,Aggregate,m³,14.31648823,15.34819304,1499.36,23012.51,Simulated Supplier,1.03170481,7.21
MT00049,P001,A017,2026-05-17,Reinforcement Steel,Steel,kg,3338.831302,3535.678636,73207.19,258837099.14,Simulated Supplier,196.8473347,5.9
MT00050,P001,A017,2026-05-17,Sand,Aggregate,m³,9.08028091,9.863288577,1527.96,15070.67,Simulated Supplier,0.783007666,8.62
MT00051,P001,A017,2026-05-25,Cement,Concrete Materials,bags,3.664826539,3.851309164,411.01,1582.94,Simulated Supplier,0.186482624,5.09
MT00052,P001,A018,2026-06-03,Sand,Aggregate,m³,10.81654882,11.49693094,1614.02,18556.32,Simulated Supplier,0.680382122,6.29
MT00053,P001,A018,2026-06-09,Reinforcement Steel,Steel,kg,2826.679089,2856.617995,66063.3,188717607.21,Simulated Supplier,29.93890585,1.06
MT00054,P001,A018,2026-06-11,Reinforcement Steel,Steel,kg,1561.448204,1587.185963,72605.66,115238680.91,Simulated Supplier,25.73775973,1.65
MT00055,P001,A019,2026-06-21,Cement,Concrete Materials,bags,4.119783694,4.303920632,445.09,1915.63,Simulated Supplier,0.184136938,4.47
MT00056,P001,A019,2026-06-27,Sand,Aggregate,m³,9.856510306,10.4148666,1586.56,16523.78,Simulated Supplier,0.558356297,5.66
MT00057,P001,A019,2026-07-02,Reinforcement Steel,Steel,kg,2204.978808,2303.132003,71587.25,164874894.1,Simulated Supplier,98.15319524,4.45
MT00058,P001,A020,2026-07-09,Reinforcement Steel,Steel,kg,2559.418383,2698.415676,65590.96,176991667.15,Simulated Supplier,138.9972934,5.43
MT00059,P001,A020,2026-07-17,Coarse Aggregate,Aggregate,m³,21.39571302,22.62282981,1832.83,41463.84,Simulated Supplier,1.227116788,5.74
MT00060,P001,A020,2026-07-22,Coarse Aggregate,Aggregate,m³,13.11862093,13.47944544,1773.5,23905.86,Simulated Supplier,0.36082451,2.75
MT00061,P001,A021,2026-07-24,Coarse Aggregate,Aggregate,m³,18.08259574,19.5280037,1890.31,36914.0,Simulated Supplier,1.445407959,7.99
MT00062,P001,A021,2026-07-30,Reinforcement Steel,Steel,kg,3344.344588,3450.867058,70063.77,241780765.26,Simulated Supplier,106.5224694,3.19
MT00063,P001,A021,2026-08-08,Coarse Aggregate,Aggregate,m³,24.89681852,26.0874637,1806.33,47122.5,Simulated Supplier,1.19064518,4.78
MT00064,P001,A022,2026-08-15,Reinforcement Steel,Steel,kg,2468.10085,2569.858452,69159.05,177728981.52,Simulated Supplier,101.7576023,4.12
MT00065,P001,A022,2026-08-20,Coarse Aggregate,Aggregate,m³,14.02884929,14.42924731,1736.74,25059.82,Simulated Supplier,0.400398022,2.85
MT00066,P001,A022,2026-08-27,Cement,Concrete Materials,bags,2.846866344,2.934828699,451.16,1324.08,Simulated Supplier,0.087962355,3.09
MT00067,P001,A023,2026-09-04,Sand,Aggregate,m³,10.82482658,11.84383841,1590.86,18841.88,Simulated Supplier,1.019011831,9.41
MT00068,P001,A023,2026-09-05,Cement,Concrete Materials,bags,2.297855451,2.410570012,448.98,1082.3,Simulated Supplier,0.112714561,4.91
MT00069,P001,A023,2026-09-17,Coarse Aggregate,Aggregate,m³,22.47822494,23.7943952,1890.32,44979.08,Simulated Supplier,1.316170257,5.86
MT00070,P001,A024,2026-09-24,Sand,Aggregate,m³,10.26761386,11.03995527,1442.56,15925.81,Simulated Supplier,0.77234141,7.52
MT00071,P001,A024,2026-09-30,Sand,Aggregate,m³,9.002697817,9.908352044,1452.58,14392.67,Simulated Supplier,0.905654227,10.06
MT00072,P001,A024,2026-10-01,Cement,Concrete Materials,bags,4.081629006,4.130911541,463.82,1916.01,Simulated Supplier,0.049282536,1.21
MT00073,P001,A025,2026-10-14,Cement,Concrete Materials,bags,3.248480584,3.503814034,422.6,1480.71,Simulated Supplier,0.255333449,7.86
MT00074,P001,A025,2026-10-16,Reinforcement Steel,Steel,kg,1828.046002,1864.356602,65223.13,121599167.84,Simulated Supplier,36.31059968,1.99
MT00075,P001,A025,2026-10-20,Reinforcement Steel,Steel,kg,3413.320074,3574.778291,66813.33,238842838.56,Simulated Supplier,161.4582172,4.73
MT00076,P001,A026,2026-04-15,Coarse Aggregate,Aggregate,m³,17.97821407,18.36859015,1874.67,34435.13,Simulated Supplier,0.39037608,2.17
MT00077,P001,A026,2026-04-25,Coarse Aggregate,Aggregate,m³,15.35526365,15.92315928,1774.17,28250.42,Simulated Supplier,0.567895628,3.7
MT00078,P001,A026,2026-04-26,Coarse Aggregate,Aggregate,m³,28.17666378,30.04311015,1886.68,56681.62,Simulated Supplier,1.866446364,6.62
MT00079,P001,A027,2026-05-03,Sand,Aggregate,m³,11.17647007,11.8609283,1595.89,18928.7,Simulated Supplier,0.684458235,6.12
MT00080,P001,A027,2026-05-07,Sand,Aggregate,m³,15.81193452,16.8475155,1590.49,26795.81,Simulated Supplier,1.035580983,6.55
MT00081,P001,A027,2026-05-19,Coarse Aggregate,Aggregate,m³,16.92141996,17.35350575,1824.48,31661.12,Simulated Supplier,0.432085792,2.55
MT00082,P001,A028,2026-05-25,Sand,Aggregate,m³,9.698665108,10.66358625,1616.35,17236.05,Simulated Supplier,0.964921146,9.95
MT00083,P001,A028,2026-05-27,Sand,Aggregate,m³,10.46268966,11.44444918,1523.62,17437.02,Simulated Supplier,0.981759516,9.38
MT00084,P001,A028,2026-06-04,Reinforcement Steel,Steel,kg,2251.045054,2390.269035,66681.4,159386475.68,Simulated Supplier,139.2239816,6.18
MT00085,P001,A029,2026-06-23,Coarse Aggregate,Aggregate,m³,27.02558998,27.96591256,1938.86,54222.05,Simulated Supplier,0.940322581,3.48
MT00086,P001,A029,2026-07-01,Sand,Aggregate,m³,12.42168724,13.07664655,1489.64,19479.44,Simulated Supplier,0.654959318,5.27
MT00087,P001,A029,2026-07-02,Cement,Concrete Materials,bags,2.883786314,3.09894857,463.65,1436.83,Simulated Supplier,0.215162256,7.46
MT00088,P001,A030,2026-07-12,Reinforcement Steel,Steel,kg,2878.382904,3051.089049,66525.34,202974728.08,Simulated Supplier,172.7061453,6.0
MT00089,P001,A030,2026-07-12,Sand,Aggregate,m³,16.7604189,18.57268813,1593.51,29595.71,Simulated Supplier,1.812269223,10.81
MT00090,P001,A030,2026-07-18,Reinforcement Steel,Steel,kg,2204.170417,2276.22758,67456.45,153546239.56,Simulated Supplier,72.05716333,3.27
MT00091,P001,A031,2026-07-31,Sand,Aggregate,m³,11.39115747,12.20291149,1524.88,18607.93,Simulated Supplier,0.811754024,7.13
MT00092,P001,A031,2026-08-01,Cement,Concrete Materials,bags,4.004994798,4.308183905,444.2,1913.68,Simulated Supplier,0.303189108,7.57
MT00093,P001,A031,2026-08-06,Coarse Aggregate,Aggregate,m³,29.70492929,31.59414995,1908.77,60306.09,Simulated Supplier,1.889220659,6.36
MT00094,P001,A032,2026-08-22,Reinforcement Steel,Steel,kg,3027.255389,3085.092195,68553.24,211493062.14,Simulated Supplier,57.83680665,1.91
MT00095,P001,A032,2026-09-02,Cement,Concrete Materials,bags,3.622885448,3.727909945,444.75,1657.99,Simulated Supplier,0.105024497,2.9
MT00096,P001,A032,2026-09-02,Coarse Aggregate,Aggregate,m³,23.85624002,25.48520701,1751.15,44628.39,Simulated Supplier,1.628966992,6.83
MT00097,P001,A033,2026-09-07,Sand,Aggregate,m³,18.87901922,20.26027892,1432.6,29024.81,Simulated Supplier,1.381259703,7.32
MT00098,P001,A033,2026-09-10,Cement,Concrete Materials,bags,3.796530738,4.09887217,459.84,1884.82,Simulated Supplier,0.302341432,7.96
MT00099,P001,A033,2026-09-25,Cement,Concrete Materials,bags,3.673461574,3.829434257,455.7,1745.08,Simulated Supplier,0.155972683,4.25
MT00100,P001,A034,2026-10-01,Reinforcement Steel,Steel,kg,3471.561764,3572.831587,72291.64,258285866.45,Simulated Supplier,101.2698231,2.92
MT00101,P001,A034,2026-10-08,Cement,Concrete Materials,bags,2.448382369,2.491267278,440.6,1097.66,Simulated Supplier,0.042884909,1.75
MT00102,P001,A034,2026-10-13,Reinforcement Steel,Steel,kg,2188.273608,2328.652076,68620.16,159792479.29,Simulated Supplier,140.3784683,6.42
MT00103,P001,A035,2026-10-19,Reinforcement Steel,Steel,kg,2677.457012,2829.437271,67608.65,191294420.17,Simulated Supplier,151.9802585,5.68
MT00104,P001,A035,2026-10-21,Sand,Aggregate,m³,9.220067016,9.765517223,1455.72,14215.82,Simulated Supplier,0.545450208,5.92
MT00105,P001,A035,2026-10-21,Reinforcement Steel,Steel,kg,3829.546041,3904.939148,70435.44,275046106.59,Simulated Supplier,75.39310653,1.97
MT00106,P001,A036,2026-11-10,Cement,Concrete Materials,bags,4.349092886,4.416193375,457.39,2019.93,Simulated Supplier,0.067100489,1.54
MT00107,P001,A036,2026-11-14,Cement,Concrete Materials,bags,2.362937728,2.394268583,450.99,1079.79,Simulated Supplier,0.031330854,1.33
MT00108,P001,A036,2026-11-21,Reinforcement Steel,Steel,kg,1816.698897,1860.937235,67123.9,124913363.88,Simulated Supplier,44.23833733,2.44
MT00109,P001,A037,2026-05-01,Reinforcement Steel,Steel,kg,3446.597323,3560.382139,66761.94,237698002.84,Simulated Supplier,113.7848162,3.3
MT00110,P001,A037,2026-05-04,Coarse Aggregate,Aggregate,m³,29.05332792,31.37227393,1803.59,56582.68,Simulated Supplier,2.31894601,7.98
MT00111,P001,A037,2026-05-11,Reinforcement Steel,Steel,kg,4364.114634,4510.288649,69240.21,312293323.12,Simulated Supplier,146.1740151,3.35
MT00112,P001,A038,2026-06-01,Reinforcement Steel,Steel,kg,4213.301602,4314.260948,67902.54,292949295.96,Simulated Supplier,100.9593455,2.4
MT00113,P001,A038,2026-06-04,Coarse Aggregate,Aggregate,m³,46.86960642,48.78121667,1730.23,84402.66,Simulated Supplier,1.911610252,4.08
MT00114,P001,A038,2026-06-06,Sand,Aggregate,m³,25.48240179,27.11960717,1579.75,42842.14,Simulated Supplier,1.637205383,6.42
MT00115,P001,A039,2026-06-15,Reinforcement Steel,Steel,kg,3103.653817,3226.822453,66313.13,213980686.15,Simulated Supplier,123.1686355,3.97
MT00116,P001,A039,2026-06-19,Sand,Aggregate,m³,21.64503033,23.4053307,1523.79,35664.79,Simulated Supplier,1.760300371,8.13
MT00117,P001,A039,2026-06-20,Reinforcement Steel,Steel,kg,4205.303123,4365.166328,66963.22,292305598.39,Simulated Supplier,159.8632048,3.8
MT00118,P001,A040,2026-07-06,Coarse Aggregate,Aggregate,m³,38.74841369,41.70489357,1770.67,73845.71,Simulated Supplier,2.956479875,7.63
MT00119,P001,A040,2026-07-16,Cement,Concrete Materials,bags,4.727112869,4.910061969,426.19,2092.62,Simulated Supplier,0.1829491,3.87
MT00120,P001,A040,2026-07-24,Reinforcement Steel,Steel,kg,4575.34929,4651.150534,72638.22,337851312.66,Simulated Supplier,75.80124425,1.66
MT00121,P001,A041,2026-08-03,Coarse Aggregate,Aggregate,m³,51.34778834,52.84634002,1859.37,98260.98,Simulated Supplier,1.498551685,2.92
MT00122,P001,A041,2026-08-11,Sand,Aggregate,m³,24.45418804,25.81860112,1576.93,40714.18,Simulated Supplier,1.364413083,5.58
MT00123,P001,A041,2026-08-15,Reinforcement Steel,Steel,kg,5948.95632,5964.127564,68517.69,408648263.88,Simulated Supplier,15.17124442,0.26
MT00124,P001,A042,2026-08-24,Reinforcement Steel,Steel,kg,5701.851723,5780.349674,69283.44,400482494.77,Simulated Supplier,78.49795054,1.38
MT00125,P001,A042,2026-08-30,Coarse Aggregate,Aggregate,m³,37.85848906,39.89442856,1926.25,76846.45,Simulated Supplier,2.035939499,5.38
MT00126,P001,A042,2026-08-31,Cement,Concrete Materials,bags,5.446736768,5.878449446,412.15,2422.78,Simulated Supplier,0.431712678,7.93
MT00127,P001,A043,2026-09-21,Reinforcement Steel,Steel,kg,4026.157295,4285.995435,69084.74,296096897.33,Simulated Supplier,259.8381401,6.45
MT00128,P001,A043,2026-09-30,Sand,Aggregate,m³,20.05126166,21.23577393,1553.47,32989.12,Simulated Supplier,1.18451227,5.91
MT00129,P001,A043,2026-09-30,Cement,Concrete Materials,bags,6.490539078,6.877757526,444.5,3057.19,Simulated Supplier,0.387218448,5.97
MT00130,P001,A044,2026-10-08,Sand,Aggregate,m³,19.92320606,20.72858311,1439.62,29841.38,Simulated Supplier,0.805377041,4.04
MT00131,P001,A044,2026-10-11,Cement,Concrete Materials,bags,5.379988442,5.464639289,423.91,2316.51,Simulated Supplier,0.084650847,1.57
MT00132,P001,A044,2026-10-15,Coarse Aggregate,Aggregate,m³,39.69822312,43.26452894,1924.41,83258.89,Simulated Supplier,3.566305817,8.98
MT00133,P001,A045,2026-10-30,Reinforcement Steel,Steel,kg,3164.152789,3234.785843,71226.43,230402250.07,Simulated Supplier,70.63305464,2.23
MT00134,P001,A045,2026-11-07,Coarse Aggregate,Aggregate,m³,46.72744105,49.90110342,1824.91,91065.18,Simulated Supplier,3.173662364,6.79
MT00135,P001,A045,2026-11-09,Coarse Aggregate,Aggregate,m³,40.93069826,44.48662452,1783.9,79359.89,Simulated Supplier,3.555926254,8.69
MT00136,P001,A046,2026-11-18,Coarse Aggregate,Aggregate,m³,34.53845631,37.26649172,1887.37,70335.75,Simulated Supplier,2.728035405,7.9
MT00137,P001,A046,2026-11-21,Cement,Concrete Materials,bags,5.353549424,5.485304996,411.08,2254.87,Simulated Supplier,0.131755572,2.46
MT00138,P001,A046,2026-11-23,Reinforcement Steel,Steel,kg,3266.370351,3433.209165,68212.03,234186169.25,Simulated Supplier,166.8388141,5.11
MT00139,P001,A047,2026-12-20,Reinforcement Steel,Steel,kg,3811.615716,3949.692894,70619.74,278926304.01,Simulated Supplier,138.0771786,3.62
MT00140,P001,A047,2026-12-23,Reinforcement Steel,Steel,kg,4014.290845,4278.602873,68383.77,292586991.07,Simulated Supplier,264.3120283,6.58
MT00141,P001,A047,2026-12-26,Cement,Concrete Materials,bags,6.356881683,6.643211399,438.72,2914.5,Simulated Supplier,0.286329716,4.5
MT00142,P001,A048,2026-04-15,Reinforcement Steel,Steel,kg,3429.660227,3589.287786,70823.65,254206445.01,Simulated Supplier,159.6275592,4.65
MT00143,P001,A048,2026-05-09,Sand,Aggregate,m³,14.46231423,15.44794751,1459.89,22552.31,Simulated Supplier,0.985633281,6.82
MT00144,P001,A048,2026-05-25,Coarse Aggregate,Aggregate,m³,19.75126217,21.4030229,1848.91,39572.17,Simulated Supplier,1.651760733,8.36
MT00145,P001,A049,2026-06-03,Bricks,Masonry Materials,no.,123929.1613,134246.8706,11.63,1561554.69,Simulated Supplier,10317.70925,8.33
MT00146,P001,A049,2026-06-07,Bricks,Masonry Materials,no.,231018.8265,246868.5556,10.67,2634850.79,Simulated Supplier,15849.72904,6.86
MT00147,P001,A049,2026-06-21,Cement,Masonry Materials,bags,20.24611844,21.05087572,423.87,8922.81,Simulated Supplier,0.804757276,3.97
MT00148,P001,A049,2026-06-29,Bricks,Masonry Materials,no.,158772.262,171649.0603,10.65,1827581.26,Simulated Supplier,12876.79829,8.11
MT00149,P001,A050,2026-06-23,Bricks,Masonry Materials,no.,130432.0925,144935.6183,11.6,1681541.32,Simulated Supplier,14503.52585,11.12
MT00150,P001,A050,2026-06-25,Bricks,Masonry Materials,no.,140821.6599,150126.0573,11.81,1772671.83,Simulated Supplier,9304.397411,6.61
MT00151,P001,A050,2026-07-17,Sand,Masonry Materials,m³,92.24028101,96.08008072,1479.35,142135.92,Simulated Supplier,3.839799708,4.16
MT00152,P001,A050,2026-07-17,Sand,Masonry Materials,m³,100.8417682,111.1311865,1477.93,164244.19,Simulated Supplier,10.28941825,10.2
MT00153,P001,A050,2026-08-03,Bricks,Masonry Materials,no.,90268.0201,96412.46978,10.87,1047957.89,Simulated Supplier,6144.449685,6.81
MT00154,P001,A051,2026-07-08,Cement,Masonry Materials,bags,1.452563785,1.511159311,422.17,637.97,Simulated Supplier,0.058595527,4.03
MT00155,P001,A051,2026-07-12,Sand,Masonry Materials,m³,7.847178287,8.482116841,1526.27,12945.97,Simulated Supplier,0.634938553,8.09
MT00156,P001,A051,2026-07-24,Cement,Masonry Materials,bags,2.021668535,2.138177645,430.16,919.76,Simulated Supplier,0.11650911,5.76
MT00157,P001,A052,2026-08-12,Paint,Finishing Materials,litre,584.9591363,616.4422483,191.12,117814.75,Simulated Supplier,31.48311203,5.38
MT00158,P001,A052,2026-08-28,Cement,Finishing Materials,bags,285.9200065,290.9618631,447.35,130162.56,Simulated Supplier,5.041856626,1.76
MT00159,P001,A052,2026-09-11,Paint,Finishing Materials,litre,458.2530929,479.2189299,177.56,85092.16,Simulated Supplier,20.96583699,4.58
MT00160,P001,A052,2026-09-14,Cement,Finishing Materials,bags,376.3408236,387.1832255,447.18,173141.54,Simulated Supplier,10.84240186,2.88
MT00161,P001,A052,2026-10-06,Tiles,Finishing Materials,m²,5805.283021,6243.269476,905.71,5654598.14,Simulated Supplier,437.986456,7.54
MT00162,P001,A053,2026-09-15,Cement,Finishing Materials,bags,285.2492438,291.6936096,457.6,133479.46,Simulated Supplier,6.444365899,2.26
MT00163,P001,A053,2026-09-30,Tiles,Finishing Materials,m²,2902.888484,3197.707073,820.95,2625147.31,Simulated Supplier,294.8185888,10.16
MT00164,P001,A053,2026-09-30,Paint,Finishing Materials,litre,369.436366,386.1237556,173.82,67116.62,Simulated Supplier,16.68738962,4.52
MT00165,P001,A053,2026-10-05,Tiles,Finishing Materials,m²,3342.272648,3696.159671,843.3,3116970.49,Simulated Supplier,353.8870227,10.59
MT00166,P001,A054,2026-08-22,Waterproofing Material,Waterproofing,kg,479.5980318,520.0895503,160.48,83466.48,Simulated Supplier,40.49151851,8.44
MT00167,P001,A054,2026-09-05,Cement,Waterproofing,bags,39.2476064,40.08225854,423.92,16991.47,Simulated Supplier,0.834652143,2.13
MT00168,P001,A054,2026-09-17,Cement,Waterproofing,bags,36.70523232,37.94934636,420.58,15960.76,Simulated Supplier,1.244114033,3.39
MT00169,P001,A055,2026-12-04,Waterproofing Material,Waterproofing,kg,892.8369274,958.0498763,165.1,158173.64,Simulated Supplier,65.21294887,7.3
MT00170,P001,A055,2026-12-09,Cement,Waterproofing,bags,41.12951784,42.26319846,443.77,18755.33,Simulated Supplier,1.133680622,2.76
MT00171,P001,A055,2026-12-16,Cement,Waterproofing,bags,55.68872979,59.06932564,443.81,26215.57,Simulated Supplier,3.38059585,6.07
MT00172,P001,A056,2026-09-28,Cement,Finishing Materials,bags,224.0035134,241.670096,438.21,105902.52,Simulated Supplier,17.66658254,7.89
MT00173,P001,A056,2026-09-30,Tiles,Finishing Materials,m²,2496.93215,2700.838291,894.03,2414633.86,Simulated Supplier,203.9061415,8.17
MT00174,P001,A056,2026-10-18,Paint,Finishing Materials,litre,367.3419017,384.2200795,188.36,72371.16,Simulated Supplier,16.87817775,4.59
MT00175,P001,A056,2026-10-29,Cement,Finishing Materials,bags,298.7183433,322.2109935,421.23,135726.0,Simulated Supplier,23.49265012,7.86
MT00176,P001,A056,2026-11-26,Paint,Finishing Materials,litre,330.9680047,346.5264831,179.45,62182.49,Simulated Supplier,15.55847836,4.7
MT00177,P001,A057,2026-10-10,Tiles,Finishing Materials,m²,1713.010161,1839.850152,834.43,1535223.39,Simulated Supplier,126.8399909,7.4
MT00178,P001,A057,2026-10-11,Tiles,Finishing Materials,m²,2017.631118,2150.656506,842.67,1812286.59,Simulated Supplier,133.0253883,6.59
MT00179,P001,A057,2026-11-11,Tiles,Finishing Materials,m²,1966.479292,2130.653416,876.75,1868040.58,Simulated Supplier,164.1741243,8.35
MT00180,P001,A057,2026-11-14,Paint,Finishing Materials,litre,202.832428,221.3097294,184.62,40858.8,Simulated Supplier,18.47730141,9.11
MT00181,P001,A058,2026-10-18,Cement,Finishing Materials,bags,5.632288403,6.008703841,459.59,2761.56,Simulated Supplier,0.376415437,6.68
MT00182,P001,A058,2026-10-19,Tiles,Finishing Materials,m²,70.74840008,75.11724246,825.25,61990.42,Simulated Supplier,4.368842378,6.18
MT00183,P001,A058,2026-11-10,Paint,Finishing Materials,litre,9.001627714,9.48138185,185.81,1761.78,Simulated Supplier,0.479754136,5.33
MT00184,P001,A058,2026-11-10,Cement,Finishing Materials,bags,3.347158892,3.404786802,408.88,1392.16,Simulated Supplier,0.05762791,1.72
